Fecha;Cliente;Concepto;Importe
2024-01-01;Acme Distribuciones S.L.;Servicio de mantenimiento;100.00
2024-01-02;Beta Consultores S.A.;Servicio de mantenimiento;137.01
2024-01-03;Gamma Logistica;Servicio de mantenimiento;174.02
2024-01-04;Delta Servicios Tecnicos;Servicio de mantenimiento;211.03
2024-01-05;Epsilon Hosteleria;Servicio de mantenimiento;248.04
2024-01-06;Acme Distribuciones S.L.;Servicio de mantenimiento;285.05
2024-01-07;Beta Consultores S.A.;Servicio de mantenimiento;322.06
2024-01-08;Gamma Logistica;Servicio de mantenimiento;359.07
2024-01-09;Delta Servicios Tecnicos;Servicio de mantenimiento;396.08
2024-01-10;Epsilon Hosteleria;Servicio de mantenimiento;433.09
2024-01-11;Acme Distribuciones S.L.;Servicio de mantenimiento;470.10
2024-01-12;Beta Consultores S.A.;Servicio de mantenimiento;507.11
2024-01-13;Gamma Logistica;Servicio de mantenimiento;544.12
2024-01-14;Delta Servicios Tecnicos;Servicio de mantenimiento;581.13
2024-01-15;Epsilon Hosteleria;Servicio de mantenimiento;618.14
2024-01-16;Acme Distribuciones S.L.;Servicio de mantenimiento;655.15
2024-01-17;Beta Consultores S.A.;Servicio de mantenimiento;692.16
2024-01-18;Gamma Logistica;Servicio de mantenimiento;729.17
2024-01-19;Delta Servicios Tecnicos;Servicio de mantenimiento;766.18
2024-01-20;Epsilon Hosteleria;Servicio de mantenimiento;803.19
2024-01-21;Acme Distribuciones S.L.;Servicio de mantenimiento;840.20
2024-01-22;Beta Consultores S.A.;Servicio de mantenimiento;877.21
2024-01-23;Gamma Logistica;Servicio de mantenimiento;914.22
2024-01-24;Delta Servicios Tecnicos;Servicio de mantenimiento;951.23
2024-01-25;Epsilon Hosteleria;Servicio de mantenimiento;988.24
2024-01-26;Acme Distribuciones S.L.;Servicio de mantenimiento;125.25
2024-01-27;Beta Consultores S.A.;Servicio de mantenimiento;162.26
2024-01-28;Gamma Logistica;Servicio de mantenimiento;199.27
2024-01-29;Delta Servicios Tecnicos;Servicio de mantenimiento;236.28
2024-01-30;Epsilon Hosteleria;Servicio de mantenimiento;273.29
2024-01-31;Acme Distribuciones S.L.;Servicio de mantenimiento;310.30
2024-02-01;Beta Consultores S.A.;Servicio de mantenimiento;347.31
2024-02-02;Gamma Logistica;Servicio de mantenimiento;384.32
2024-02-03;Delta Servicios Tecnicos;Servicio de mantenimiento;421.33
2024-02-04;Epsilon Hosteleria;Servicio de mantenimiento;458.34
2024-02-05;Acme Distribuciones S.L.;Servicio de mantenimiento;495.35
2024-02-06;Beta Consultores S.A.;Servicio de mantenimiento;532.36
2024-02-07;Gamma Logistica;Servicio de mantenimiento;569.37
2024-02-08;Delta Servicios Tecnicos;Servicio de mantenimiento;606.38
2024-02-09;Epsilon Hosteleria;Servicio de mantenimiento;643.39
2024-02-10;Acme Distribuciones S.L.;Servicio de mantenimiento;680.40
2024-02-11;Beta Consultores S.A.;Servicio de mantenimiento;717.41
2024-02-12;Gamma Logistica;Servicio de mantenimiento;754.42
2024-02-13;Delta Servicios Tecnicos;Servicio de mantenimiento;791.43
2024-02-14;Epsilon Hosteleria;Servicio de mantenimiento;828.44
2024-02-15;Acme Distribuciones S.L.;Servicio de mantenimiento;865.45
2024-02-16;Beta Consultores S.A.;Servicio de mantenimiento;902.46
2024-02-17;Gamma Logistica;Servicio de mantenimiento;939.47
2024-02-18;Delta Servicios Tecnicos;Servicio de mantenimiento;976.48
2024-02-19;Epsilon Hosteleria;Servicio de mantenimiento;113.49
2024-02-20;Acme Distribuciones S.L.;Servicio de mantenimiento;150.50
2024-02-21;Beta Consultores S.A.;Servicio de mantenimiento;187.51
2024-02-22;Gamma Logistica;Servicio de mantenimiento;224.52
2024-02-23;Delta Servicios Tecnicos;Servicio de mantenimiento;261.53
2024-02-24;Epsilon Hosteleria;Servicio de mantenimiento;298.54
2024-02-25;Acme Distribuciones S.L.;Servicio de mantenimiento;335.55
2024-02-26;Beta Consultores S.A.;Servicio de mantenimiento;372.56
2024-02-27;Gamma Logistica;Servicio de mantenimiento;409.57
2024-02-28;Delta Servicios Tecnicos;Servicio de mantenimiento;446.58
2024-02-29;Epsilon Hosteleria;Servicio de mantenimiento;483.59
2024-03-01;Acme Distribuciones S.L.;Servicio de mantenimiento;520.60
2024-03-02;Beta Consultores S.A.;Servicio de mantenimiento;557.61
2024-03-03;Gamma Logistica;Servicio de mantenimiento;594.62
2024-03-04;Delta Servicios Tecnicos;Servicio de mantenimiento;631.63
2024-03-05;Epsilon Hosteleria;Servicio de mantenimiento;668.64
2024-03-06;Acme Distribuciones S.L.;Servicio de mantenimiento;705.65
2024-03-07;Beta Consultores S.A.;Servicio de mantenimiento;742.66
2024-03-08;Gamma Logistica;Servicio de mantenimiento;779.67
2024-03-09;Delta Servicios Tecnicos;Servicio de mantenimiento;816.68
2024-03-10;Epsilon Hosteleria;Servicio de mantenimiento;853.69
2024-03-11;Acme Distribuciones S.L.;Servicio de mantenimiento;890.70
2024-03-12;Beta Consultores S.A.;Servicio de mantenimiento;927.71
2024-03-13;Gamma Logistica;Servicio de mantenimiento;964.72
2024-03-14;Delta Servicios Tecnicos;Servicio de mantenimiento;101.73
2024-03-15;Epsilon Hosteleria;Servicio de mantenimiento;138.74
2024-03-16;Acme Distribuciones S.L.;Servicio de mantenimiento;175.75
2024-03-17;Beta Consultores S.A.;Servicio de mantenimiento;212.76
2024-03-18;Gamma Logistica;Servicio de mantenimiento;249.77
2024-03-19;Delta Servicios Tecnicos;Servicio de mantenimiento;286.78
2024-03-20;Epsilon Hosteleria;Servicio de mantenimiento;323.79
2024-03-21;Acme Distribuciones S.L.;Servicio de mantenimiento;360.80
2024-03-22;Beta Consultores S.A.;Servicio de mantenimiento;397.81
2024-03-23;Gamma Logistica;Servicio de mantenimiento;434.82
2024-03-24;Delta Servicios Tecnicos;Servicio de mantenimiento;471.83
2024-03-25;Epsilon Hosteleria;Servicio de mantenimiento;508.84
2024-03-26;Acme Distribuciones S.L.;Servicio de mantenimiento;545.85
2024-03-27;Beta Consultores S.A.;Servicio de mantenimiento;582.86
2024-03-28;Gamma Logistica;Servicio de mantenimiento;619.87
2024-03-29;Delta Servicios Tecnicos;Servicio de mantenimiento;656.88
2024-03-30;Epsilon Hosteleria;Servicio de mantenimiento;693.89
2024-03-31;Acme Distribuciones S.L.;Servicio de mantenimiento;730.90
2024-04-01;Beta Consultores S.A.;Servicio de mantenimiento;767.91
2024-04-02;Gamma Logistica;Servicio de mantenimiento;804.92
2024-04-03;Delta Servicios Tecnicos;Servicio de mantenimiento;841.93
2024-04-04;Epsilon Hosteleria;Servicio de mantenimiento;878.94
2024-04-05;Acme Distribuciones S.L.;Servicio de mantenimiento;915.95
2024-04-06;Beta Consultores S.A.;Servicio de mantenimiento;952.96
2024-04-07;Gamma Logistica;Servicio de mantenimiento;989.97
2024-04-08;Delta Servicios Tecnicos;Servicio de mantenimiento;126.98
2024-04-09;Epsilon Hosteleria;Servicio de mantenimiento;163.99
2024-04-10;Acme Distribuciones S.L.;Servicio de mantenimiento;200.00
2024-04-11;Beta Consultores S.A.;Servicio de mantenimiento;237.01
2024-04-12;Gamma Logistica;Servicio de mantenimiento;274.02
2024-04-13;Delta Servicios Tecnicos;Servicio de mantenimiento;311.03
2024-04-14;Epsilon Hosteleria;Servicio de mantenimiento;348.04
2024-04-15;Acme Distribuciones S.L.;Servicio de mantenimiento;385.05
2024-04-16;Beta Consultores S.A.;Servicio de mantenimiento;422.06
2024-04-17;Gamma Logistica;Servicio de mantenimiento;459.07
2024-04-18;Delta Servicios Tecnicos;Servicio de mantenimiento;496.08
2024-04-19;Epsilon Hosteleria;Servicio de mantenimiento;533.09
2024-04-20;Acme Distribuciones S.L.;Servicio de mantenimiento;570.10
2024-04-21;Beta Consultores S.A.;Servicio de mantenimiento;607.11
2024-04-22;Gamma Logistica;Servicio de mantenimiento;644.12
2024-04-23;Delta Servicios Tecnicos;Servicio de mantenimiento;681.13
2024-04-24;Epsilon Hosteleria;Servicio de mantenimiento;718.14
2024-04-25;Acme Distribuciones S.L.;Servicio de mantenimiento;755.15
2024-04-26;Beta Consultores S.A.;Servicio de mantenimiento;792.16
2024-04-27;Gamma Logistica;Servicio de mantenimiento;829.17
2024-04-28;Delta Servicios Tecnicos;Servicio de mantenimiento;866.18
2024-04-29;Epsilon Hosteleria;Servicio de mantenimiento;903.19
2024-04-30;Acme Distribuciones S.L.;Servicio de mantenimiento;940.20
2024-05-01;Beta Consultores S.A.;Servicio de mantenimiento;977.21
2024-05-02;Gamma Logistica;Servicio de mantenimiento;114.22
2024-05-03;Delta Servicios Tecnicos;Servicio de mantenimiento;151.23
2024-05-04;Epsilon Hosteleria;Servicio de mantenimiento;188.24
2024-05-05;Acme Distribuciones S.L.;Servicio de mantenimiento;225.25
2024-05-06;Beta Consultores S.A.;Servicio de mantenimiento;262.26
2024-05-07;Gamma Logistica;Servicio de mantenimiento;299.27
2024-05-08;Delta Servicios Tecnicos;Servicio de mantenimiento;336.28
2024-05-09;Epsilon Hosteleria;Servicio de mantenimiento;373.29
2024-05-10;Acme Distribuciones S.L.;Servicio de mantenimiento;410.30
2024-05-11;Beta Consultores S.A.;Servicio de mantenimiento;447.31
2024-05-12;Gamma Logistica;Servicio de mantenimiento;484.32
2024-05-13;Delta Servicios Tecnicos;Servicio de mantenimiento;521.33
2024-05-14;Epsilon Hosteleria;Servicio de mantenimiento;558.34
2024-05-15;Acme Distribuciones S.L.;Servicio de mantenimiento;595.35
2024-05-16;Beta Consultores S.A.;Servicio de mantenimiento;632.36
2024-05-17;Gamma Logistica;Servicio de mantenimiento;669.37
2024-05-18;Delta Servicios Tecnicos;Servicio de mantenimiento;706.38
2024-05-19;Epsilon Hosteleria;Servicio de mantenimiento;743.39
2024-05-20;Acme Distribuciones S.L.;Servicio de mantenimiento;780.40
2024-05-21;Beta Consultores S.A.;Servicio de mantenimiento;817.41
2024-05-22;Gamma Logistica;Servicio de mantenimiento;854.42
2024-05-23;Delta Servicios Tecnicos;Servicio de mantenimiento;891.43
2024-05-24;Epsilon Hosteleria;Servicio de mantenimiento;928.44
2024-05-25;Acme Distribuciones S.L.;Servicio de mantenimiento;965.45
2024-05-26;Beta Consultores S.A.;Servicio de mantenimiento;102.46
2024-05-27;Gamma Logistica;Servicio de mantenimiento;139.47
2024-05-28;Delta Servicios Tecnicos;Servicio de mantenimiento;176.48
2024-05-29;Epsilon Hosteleria;Servicio de mantenimiento;213.49
