Fecha,Cliente,Importe,Observaciones
2024-01-01,Acme Distribuciones S.L.,100.50,Sin observaciones
2024-01-02,Beta Consultores S.A.,101.50,Sin observaciones
2024-01-03,Gamma Logistica,102.50,Sin observaciones
2024-01-04,Delta Servicios Tecnicos,103.50,Sin observaciones
2024-01-05,Epsilon Hosteleria,104.50,Sin observaciones
2024-01-06,Acme Distribuciones S.L.,105.50,Sin observaciones
2024-01-07,Beta Consultores S.A.,106.50,Sin observaciones
2024-01-08,Gamma Logistica,107.50,Sin observaciones
2024-01-09,Delta Servicios Tecnicos,108.50,Sin observaciones
2024-01-10,Epsilon Hosteleria,109.50,Sin observaciones
2024-01-11,Acme Distribuciones S.L.,110.50,Sin observaciones
2024-01-12,Beta Consultores S.A.,111.50,Sin observaciones
2024-01-13,Gamma Logistica,112.50,Sin observaciones
2024-01-14,Delta Servicios Tecnicos,113.50,Sin observaciones
2024-01-15,Epsilon Hosteleria,114.50,Sin observaciones
2024-01-16,Acme Distribuciones S.L.,115.50,Sin observaciones
2024-01-17,Beta Consultores S.A.,116.50,Sin observaciones
2024-01-18,Gamma Logistica,117.50,Sin observaciones
2024-01-19,Delta Servicios Tecnicos,118.50,Sin observaciones
2024-01-20,Epsilon Hosteleria,119.50,Sin observaciones
2024-01-21,Acme Distribuciones S.L.,120.50,Sin observaciones
2024-01-22,Beta Consultores S.A.,121.50,Sin observaciones
2024-01-23,Gamma Logistica,122.50,Sin observaciones
2024-01-24,Delta Servicios Tecnicos,123.50,Sin observaciones
2024-01-25,Epsilon Hosteleria,124.50,Sin observaciones
2024-01-26,Acme Distribuciones S.L.,125.50,Sin observaciones
2024-01-27,Beta Consultores S.A.,126.50,Sin observaciones
2024-01-28,Gamma Logistica,127.50,Sin observaciones
2024-01-29,Delta Servicios Tecnicos,128.50,Sin observaciones
2024-01-30,Epsilon Hosteleria,129.50,Sin observaciones
2024-01-31,Acme Distribuciones S.L.,130.50,Sin observaciones
2024-02-01,Beta Consultores S.A.,131.50,Sin observaciones
2024-02-02,Gamma Logistica,132.50,Sin observaciones
2024-02-03,Delta Servicios Tecnicos,133.50,Sin observaciones
2024-02-04,Epsilon Hosteleria,134.50,Sin observaciones
2024-02-05,Acme Distribuciones S.L.,135.50,Sin observaciones
2024-02-06,Beta Consultores S.A.,136.50,Sin observaciones
2024-02-07,Gamma Logistica,137.50,Sin observaciones
2024-02-08,Delta Servicios Tecnicos,138.50,Sin observaciones
2024-02-09,Epsilon Hosteleria,139.50,Sin observaciones
2024-02-10,Acme Distribuciones S.L.,140.50,Sin observaciones
2024-02-11,Beta Consultores S.A.,141.50,Sin observaciones
2024-02-12,Gamma Logistica,142.50,Sin observaciones
2024-02-13,Delta Servicios Tecnicos,143.50,Sin observaciones
2024-02-14,Epsilon Hosteleria,144.50,Sin observaciones
2024-02-15,Acme Distribuciones S.L.,145.50,Sin observaciones
2024-02-16,Beta Consultores S.A.,146.50,Sin observaciones
2024-02-17,Gamma Logistica,147.50,Sin observaciones
2024-02-18,Delta Servicios Tecnicos,148.50,Sin observaciones
2024-02-19,Epsilon Hosteleria,149.50,Sin observaciones
2024-02-20,Acme Distribuciones S.L.,150.50,Sin observaciones
2024-02-21,Beta Consultores S.A.,151.50,Sin observaciones
2024-02-22,Gamma Logistica,152.50,Sin observaciones
2024-02-23,Delta Servicios Tecnicos,153.50,Sin observaciones
2024-02-24,Epsilon Hosteleria,154.50,Sin observaciones
2024-02-25,Acme Distribuciones S.L.,155.50,Sin observaciones
2024-02-26,Beta Consultores S.A.,156.50,Sin observaciones
2024-02-27,Gamma Logistica,157.50,Sin observaciones
2024-02-28,Delta Servicios Tecnicos,158.50,Sin observaciones
2024-02-29,Epsilon Hosteleria,159.50,Sin observaciones
2024-03-01,Acme Distribuciones S.L.,160.50,Sin observaciones
2024-03-02,Beta Consultores S.A.,161.50,Sin observaciones
2024-03-03,Gamma Logistica,162.50,Sin observaciones
2024-03-04,Delta Servicios Tecnicos,163.50,Sin observaciones
2024-03-05,Epsilon Hosteleria,164.50,Sin observaciones
2024-03-06,Acme Distribuciones S.L.,165.50,Sin observaciones
2024-03-07,Beta Consultores S.A.,166.50,Sin observaciones
2024-03-08,Gamma Logistica,167.50,Sin observaciones
2024-03-09,Delta Servicios Tecnicos,168.50,Sin observaciones
2024-03-10,Acme,999.99,Pendiente de revision Pendiente de revision Pendiente de revision Pendie.
