# Exportado desde SistemaXYZ v3.2
# Empresa: Distribuciones Ejemplo S.A.
# Periodo: 2023-05-31 a 2023-10-06
"Fecha","Cliente","Importe","Concepto","Cantidad","Región","Código","Estado"
2023-05-31,Núñez Ortega y Cía.,1532.39,Servicio de mantenimiento,210,País Vasco,C-6534,Anulado
2023-06-01,"Taller ""El Rápido""",4951.47,Servicio de mantenimiento,232,Cataluña,B-1748,Anulado
2023-06-02,Núñez Ortega y Cía.,162.84,Formación interna,336,Cataluña,F-5498,Anulado
2023-06-03,"Fernández, Asociados",2044.41,Transporte de mercancía,193,País Vasco,B-2383,En revisión
2023-06-04,"Fernández, Asociados",975.10,Consultoría técnica,244,Cataluña,H-2637,Pendiente
2023-06-05,García S.L.,750.87,Revisión anual de equipos,166,País Vasco,F-2154,Pagado
2023-06-06,García S.L.,3877.38,Formación interna,47,Madrid,D-5851,Pagado
2023-06-07,Ibáñez Logística,193.07,Consultoría técnica,361,Cataluña,F-1354,Pagado
2023-06-08,Ibáñez Logística,1227.41,Formación interna,378,Andalucía,C-2943,En revisión
2023-06-09,Acme Distribuciones S.L.,2684.00,Servicio de mantenimiento,5,Aragón,G-5304,Pendiente
2023-06-10,García S.L.,2785.07,Revisión anual de equipos,280,Cataluña,A-9146,Pagado
2023-06-11,Muñoz Hermanos,2648.94,Formación interna,56,País Vasco,D-1036,Anulado
2023-06-12,Núñez Ortega y Cía.,2392.42,Compra de material informático,168,Cataluña,G-7534,En revisión
2023-06-13,Muñoz Hermanos,236.06,Formación interna,360,Aragón,F-3151,Pendiente
2023-06-14,García S.L.,14.24,Transporte de mercancía,162,Cataluña,A-1215,En revisión
2023-06-15,Núñez Ortega y Cía.,2613.12,Transporte de mercancía,306,Aragón,C-5672,En revisión
2023-06-16,Ibáñez Logística,3473.91,Servicio de mantenimiento,363,Andalucía,E-8351,Pendiente
2023-06-17,Muñoz Hermanos,2489.67,Transporte de mercancía,59,Madrid,C-1518,En revisión
2023-06-18,Peña & Hijos,2148.57,Formación interna,233,Cataluña,B-8850,En revisión
2023-06-19,Muñoz Hermanos,4667.12,Formación interna,28,Madrid,B-4185,En revisión
2023-06-20,García S.L.,65.14,Compra de material informático,276,País Vasco,H-8026,Anulado
2023-06-21,Muñoz Hermanos,895.01,Transporte de mercancía,276,Galicia,F-6387,En revisión
2023-06-22,García S.L.,2363.26,Compra de material informático,133,Cataluña,H-0588,Anulado
2023-06-23,Muñoz Hermanos,2720.25,Consultoría técnica,212,Andalucía,D-2866,Anulado
2023-06-24,Acme Distribuciones S.L.,3692.94,Revisión anual de equipos,105,Andalucía,G-7338,Anulado
2023-06-25,"Fernández, Asociados",2498.01,Servicio de mantenimiento,135,Andalucía,D-2506,Pendiente
2023-06-26,Ibáñez Logística,4495.12,Compra de material informático,476,Madrid,F-9755,Pendiente
