# Exportado desde SistemaXYZ v3.2
# Empresa: Distribuciones Ejemplo S.A.
Fecha;Cliente;Importe;Concepto;Cantidad;Región
2023-10-18;Peña & Hijos;2.551,25;Compra de material informático;492;Cataluña
2023-10-19;Fernández, Asociados;3.901,06;Formación interna;423;Cataluña
2023-10-20;Peña & Hijos;2.717,45;Servicio de mantenimiento;455;Cataluña
2023-10-21;Fernández, Asociados;3.644,19;Revisión anual de equipos;210;Galicia
2023-10-22;García S.L.;3.761,58;Compra de material informático;351;Andalucía
2023-10-23;Fernández, Asociados;746,68;Compra de material informático;456;Cataluña
2023-10-24;Ibáñez Logística;3.013,92;Consultoría técnica;224;Cataluña
2023-10-25;Muñoz Hermanos;2.433,79;Revisión anual de equipos;139;Aragón
2023-10-26;Peña & Hijos;314,74;Formación interna;137;Aragón
2023-10-27;Fernández, Asociados;462,22;Compra de material informático;345;Aragón
2023-10-28;Núñez Ortega y Cía.;2.365,41;Transporte de mercancía;7;País Vasco
2023-10-29;García S.L.;4.342,14;Compra de material informático;5;País Vasco
2023-10-30;"Taller ""El Rápido""";211,79;Formación interna;83;Cataluña
2023-10-31;García S.L.;1.010,54;Consultoría técnica;72;Madrid
2023-11-01;Peña & Hijos;484,57;Compra de material informático;177;Galicia
2023-11-02;Acme Distribuciones S.L.;2.017,32;Consultoría técnica;496;Cataluña
2023-11-03;Fernández, Asociados;1.290,84;Transporte de mercancía;403;Andalucía
2023-11-04;Fernández, Asociados;1.628,52;Transporte de mercancía;242;Galicia
2023-11-05;"Taller ""El Rápido""";3.119,93;Compra de material informático;182;Galicia
2023-11-06;Muñoz Hermanos;3.034,35;Revisión anual de equipos;4;Cataluña
2023-11-07;Acme Distribuciones S.L.;855,74;Formación interna;71;Galicia
2023-11-08;"Taller ""El Rápido""";1.686,23;Consultoría técnica;45;Galicia
2023-11-09;Peña & Hijos;4.127,92;Compra de material informático;449;Galicia
2023-11-10;Muñoz Hermanos;2.159,22;Consultoría técnica;427;País Vasco
2023-11-11;Núñez Ortega y Cía.;344,44;Consultoría técnica;309;País Vasco
2023-11-12;Ibáñez Logística;656,67;Transporte de mercancía;265;Galicia
2023-11-13;Ibáñez Logística;4.360,93;Revisión anual de equipos;12;Madrid
2023-11-14;García S.L.;476,69;Transporte de mercancía;81;Galicia
2023-11-15;Acme Distribuciones S.L.;3.533,18;Formación interna;313;Madrid
2023-11-16;Muñoz Hermanos;1.984,03;Revisión anual de equipos;446;Aragón
2023-11-17;Ibáñez Logística;2.351,91;Transporte de mercancía;70;País Vasco
2023-11-18;Muñoz Hermanos;766,73;Transporte de mercancía;123;País Vasco
2023-11-19;Núñez Ortega y Cía.;4.318,08;Servicio de mantenimiento;63;Madrid
2023-11-20;"Taller ""El Rápido""";1.860,43;Servicio de mantenimiento;285;País Vasco
2023-11-21;Peña & Hijos;4.208,31;Formación interna;249;Cataluña
2023-11-22;Fernández, Asociados;637,52;Consultoría técnica;340;País Vasco
2023-11-23;"Taller ""El Rápido""";3.836,28;Transporte de mercancía;27;Galicia
2023-11-24;Peña & Hijos;3.260,50;Compra de material informático;253;Madrid
2023-11-25;Peña & Hijos;80,91;Servicio de mantenimiento;278;Aragón
2023-11-26;Acme Distribuciones S.L.;3.220,84;Revisión anual de equipos;91;Cataluña
2023-11-27;Muñoz Hermanos;954,87;Formación interna;235;País Vasco
2023-11-28;Peña & Hijos;1.636,49;Revisión anual de equipos;421;Galicia
2023-11-29;Núñez Ortega y Cía.;2.614,48;Consultoría técnica;452;Cataluña
2023-11-30;Acme Distribuciones S.L.;2.381,70;Compra de material informático;31;Andalucía
2023-12-01;Muñoz Hermanos;1.606,99;Formación interna;20;Madrid
2023-12-02;García S.L.;2.293,68;Consultoría técnica;459;Aragón
2023-12-03;Ibáñez Logística;4.207,60;Revisión anual de equipos;285;Cataluña
2023-12-04;Muñoz Hermanos;4.413,04;Revisión anual de equipos;382;Andalucía
2023-12-05;García S.L.;3.484,29;Consultoría técnica;451;Galicia
2023-12-06;Muñoz Hermanos;2.648,39;Servicio de mantenimiento;326;Madrid
2023-12-07;Fernández, Asociados;4.136,49;Transporte de mercancía;324;Aragón
2023-12-08;"Taller ""El Rápido""";143,08;Transporte de mercancía;399;Madrid
2023-12-09;Muñoz Hermanos;2.743,61;Transporte de mercancía;30;Madrid
2023-12-10;"Taller ""El Rápido""";4.774,39;Revisión anual de equipos;52;Andalucía
2023-12-11;Acme Distribuciones S.L.;3.518,74;Transporte de mercancía;56;Cataluña
2023-12-12;Ibáñez Logística;138,42;Formación interna;117;Cataluña
2023-12-13;Acme Distribuciones S.L.;681,72;Compra de material informático;104;Galicia
2023-12-14;Peña & Hijos;3.231,88;Revisión anual de equipos;285;Cataluña
2023-12-15;Ibáñez Logística;3.282,74;Consultoría técnica;421;Galicia
2023-12-16;Muñoz Hermanos;998,25;Revisión anual de equipos;359;Aragón
2023-12-17;Muñoz Hermanos;615,98;Consultoría técnica;426;Cataluña
