Fecha,Cliente,Importe,Concepto
2023-09-29,Ibáñez Logística,"2.055,57",Revisión anual de equipos
2023-09-30,Peña & Hijos,"371,01",Servicio de mantenimiento
2023-10-01,Núñez Ortega y Cía.,"67,42",Compra de material informático
2023-10-02,Núñez Ortega y Cía.,"2.227,57",Compra de material informático
2023-10-03,Ibáñez Logística,"4.625,95",Formación interna
2023-10-04,Acme Distribuciones S.L.,"4.398,82",Revisión anual de equipos
2023-10-05,García S.L.,"3.604,20",Formación interna
2023-10-06,"Taller ""El Rápido""","1.129,52",Consultoría técnica
2023-10-07,"Taller ""El Rápido""","3.457,63",Consultoría técnica
2023-10-08,Acme Distribuciones S.L.,"4.031,28",Consultoría técnica
2023-10-09,Muñoz Hermanos,"3.823,04",Formación interna
2023-10-10,Acme Distribuciones S.L.,"3.050,33",Servicio de mantenimiento
2023-10-11,"Taller ""El Rápido""","1.468,74",Formación interna
2023-10-12,Acme Distribuciones S.L.,"2.448,07",Servicio de mantenimiento
2023-10-13,García S.L.,"2.211,17",Transporte de mercancía
2023-10-14,Acme Distribuciones S.L.,"2.971,02",Transporte de mercancía
2023-10-15,Muñoz Hermanos,"2.897,73",Servicio de mantenimiento
2023-10-16,García S.L.,"160,74",Compra de material informático
2023-10-17,Peña & Hijos,"229,99",Revisión anual de equipos
2023-10-18,Núñez Ortega y Cía.,"408,99",Revisión anual de equipos
2023-10-19,"Fernández, Asociados","1.772,49",Servicio de mantenimiento
2023-10-20,Acme Distribuciones S.L.,"641,76",Revisión anual de equipos
2023-10-21,"Fernández, Asociados","2.765,47",Servicio de mantenimiento
2023-10-22,Ibáñez Logística,"740,51",Formación interna
2023-10-23,García S.L.,"4.669,10",Revisión anual de equipos
2023-10-24,Muñoz Hermanos,"4.788,18",Compra de material informático
2023-10-25,Acme Distribuciones S.L.,"4.476,02",Compra de material informático
2023-10-26,Peña & Hijos,"1.099,32",Transporte de mercancía
2023-10-27,"Taller ""El Rápido""","4.434,91",Servicio de mantenimiento
2023-10-28,Muñoz Hermanos,"4.521,74",Consultoría técnica
2023-10-29,Acme Distribuciones S.L.,"4.597,97",Formación interna
2023-10-30,Acme Distribuciones S.L.,"4.148,33",Formación interna
2023-10-31,"Fernández, Asociados","1.833,62",Compra de material informático
2023-11-01,Peña & Hijos,"4.474,36",Compra de material informático
2023-11-02,Acme Distribuciones S.L.,"1.789,79",Consultoría técnica
2023-11-03,Núñez Ortega y Cía.,"4.452,54",Revisión anual de equipos
2023-11-04,"Taller ""El Rápido""","2.997,62",Consultoría técnica
2023-11-05,"Taller ""El Rápido""","799,93",Servicio de mantenimiento
2023-11-06,"Taller ""El Rápido""","3.190,31",Formación interna
2023-11-07,García S.L.,"1.183,69",Servicio de mantenimiento
