Fecha;Cliente;Importe;Concepto;Cantidad
2023-10-04;Ibáñez Logística;3.146,10;Transporte de mercancía;140
2023-10-05;Peña & Hijos;2.822,10;Revisión anual de equipos;263
2023-10-06;"Taller ""El Rápido""";2.722,26;Consultoría técnica;32
2023-10-07;Peña & Hijos;4.828,65;Servicio de mantenimiento;368
2023-10-08;Fernández, Asociados;1.531,92;Formación interna;256
2023-10-09;Ibáñez Logística;3.521,73;Transporte de mercancía;454
2023-10-10;Muñoz Hermanos;1.832,87;Transporte de mercancía;320
2023-10-11;García S.L.;2.315,72;Revisión anual de equipos;218
2023-10-12;"Taller ""El Rápido""";2.291,44;Transporte de mercancía;176
2023-10-13;"Taller ""El Rápido""";4.270,07;Compra de material informático;261
2023-10-14;Núñez Ortega y Cía.;3.661,81;Revisión anual de equipos;422
2023-10-15;Ibáñez Logística;4.020,47;Transporte de mercancía;189
2023-10-16;Fernández, Asociados;771,17;Compra de material informático;492
2023-10-17;Peña & Hijos;3.895,15;Compra de material informático;195
2023-10-18;Acme Distribuciones S.L.;3.604,54;Compra de material informático;410
2023-10-19;Muñoz Hermanos;4.426,12;Transporte de mercancía;18
2023-10-20;Ibáñez Logística;4.957,48;Consultoría técnica;34
2023-10-21;"Taller ""El Rápido""";1.763,21;Consultoría técnica;188
2023-10-22;Acme Distribuciones S.L.;3.950,49;Consultoría técnica;7
2023-10-23;Fernández, Asociados;4.706,36;Servicio de mantenimiento;114
2023-10-24;"Taller ""El Rápido""";3.670,54;Compra de material informático;414
2023-10-25;"Taller ""El Rápido""";406,88;Revisión anual de equipos;314
2023-10-26;Núñez Ortega y Cía.;2.094,47;Formación interna;217
2023-10-27;Ibáñez Logística;4.724,44;Compra de material informático;286
2023-10-28;Ibáñez Logística;476,41;Compra de material informático;396
2023-10-29;Peña & Hijos;2.006,86;Transporte de mercancía;348
2023-10-30;García S.L.;2.096,19;Servicio de mantenimiento;347
2023-10-31;Peña & Hijos;4.254,12;Formación interna;434
2023-11-01;Fernández, Asociados;839,00;Formación interna;216
2023-11-02;"Taller ""El Rápido""";381,25;Consultoría técnica;416
2023-11-03;Peña & Hijos;4.952,15;Compra de material informático;250
2023-11-04;García S.L.;3.457,86;Servicio de mantenimiento;417
2023-11-05;Muñoz Hermanos;937,68;Compra de material informático;412
2023-11-06;García S.L.;1.747,52;Servicio de mantenimiento;365
2023-11-07;Muñoz Hermanos;1.164,51;Compra de material informático;147
2023-11-08;Ibáñez Logística;4.794,53;Compra de material informático;372
2023-11-09;Núñez Ortega y Cía.;1.604,75;Consultoría técnica;270
2023-11-10;Fernández, Asociados;2.290,91;Formación interna;443
2023-11-11;Fernández, Asociados;1.199,04;Revisión anual de equipos;35
2023-11-12;García S.L.;4.045,72;Formación interna;407
