Fecha;Cliente;Importe;Concepto;Cantidad;Región
2023-09-13;Peña & Hijos;688.37;Consultoría técnica;458;País Vasco
2023-09-14;"Taller ""El Rápido""";3202.03;Revisión anual de equipos;218;Galicia
2023-09-15;García S.L.;2942.06;Servicio de mantenimiento;10;Galicia
2023-09-16;Ibáñez Logística;829.93;Compra de material informático;442;Galicia
2023-09-17;"Taller ""El Rápido""";3916.78;Compra de material informático;41;Andalucía
2023-09-18;Fernández, Asociados;4287.15;Consultoría técnica;103;Aragón
2023-09-19;Núñez Ortega y Cía.;17.25;Consultoría técnica;191;Aragón
2023-09-20;García S.L.;2945.22;Servicio de mantenimiento;81;Aragón
2023-09-21;García S.L.;3806.97;Consultoría técnica;483;País Vasco
2023-09-22;Peña & Hijos;2828.92;Revisión anual de equipos;100;Andalucía
2023-09-23;Acme Distribuciones S.L.;756.66;Transporte de mercancía;33;Andalucía
2023-09-24;Muñoz Hermanos;4993.14;Revisión anual de equipos;87;Galicia
2023-09-25;Núñez Ortega y Cía.;432.28;Servicio de mantenimiento;26;Aragón
2023-09-26;Núñez Ortega y Cía.;127.35;Servicio de mantenimiento;337;Cataluña
2023-09-27;Acme Distribuciones S.L.;1225.86;Consultoría técnica;59;Aragón
2023-09-28;Núñez Ortega y Cía.;4066.76;Revisión anual de equipos;249;Andalucía
2023-09-29;Fernández, Asociados;295.50;Revisión anual de equipos;234;Madrid
2023-09-30;Peña & Hijos;4583.31;Consultoría técnica;341;Andalucía
2023-10-01;"Taller ""El Rápido""";4154.76;Formación interna;3;Aragón
2023-10-02;Peña & Hijos;1151.37;Consultoría técnica;69;Cataluña
2023-10-03;Acme Distribuciones S.L.;1671.87;Formación interna;86;Andalucía
2023-10-04;Peña & Hijos;3749.35;Compra de material informático;285;Andalucía
2023-10-05;Muñoz Hermanos;2924.09;Servicio de mantenimiento;248;Andalucía
2023-10-06;Muñoz Hermanos;441.58;Servicio de mantenimiento;255;Aragón
2023-10-07;"Taller ""El Rápido""";3179.22;Servicio de mantenimiento;440;Madrid
2023-10-08;"Taller ""El Rápido""";4014.54;Revisión anual de equipos;337;Aragón
2023-10-09;Núñez Ortega y Cía.;4120.93;Formación interna;367;Aragón
2023-10-10;Ibáñez Logística;1063.43;Consultoría técnica;43;Galicia
2023-10-11;Muñoz Hermanos;1730.44;Transporte de mercancía;70;País Vasco
