Fecha;Cliente;Importe;Concepto;Cantidad;Región
2023-10-24;Acme Distribuciones S.L.;3596.21;Consultoría técnica;131;Galicia
2023-10-25;Ibáñez Logística;4060.52;Transporte de mercancía;490;País Vasco
2023-10-26;Fernández, Asociados;27.89;Revisión anual de equipos;342;Aragón
2023-10-27;García S.L.;545.91;Formación interna;3;Aragón
2023-10-28;Núñez Ortega y Cía.;2531.95;Servicio de mantenimiento;146;Aragón
2023-10-29;"Taller ""El Rápido""";3820.59;Transporte de mercancía;248;Galicia
2023-10-30;García S.L.;3140.74;Compra de material informático;280;Madrid
2023-10-31;Ibáñez Logística;3626.12;Consultoría técnica;87;Cataluña
2023-11-01;Acme Distribuciones S.L.;964.15;Formación interna;392;Galicia
2023-11-02;Peña & Hijos;2802.98;Revisión anual de equipos;186;Andalucía
2023-11-03;"Taller ""El Rápido""";1442.00;Transporte de mercancía;112;Andalucía
2023-11-04;Núñez Ortega y Cía.;2510.54;Consultoría técnica;139;Galicia
2023-11-05;Acme Distribuciones S.L.;1196.24;Servicio de mantenimiento;248;Galicia
2023-11-06;Muñoz Hermanos;1472.11;Transporte de mercancía;465;Cataluña
2023-11-07;Muñoz Hermanos;3181.25;Transporte de mercancía;61;Galicia
2023-11-08;Fernández, Asociados;3726.35;Consultoría técnica;350;Andalucía
2023-11-09;Fernández, Asociados;2946.16;Servicio de mantenimiento;306;País Vasco
2023-11-10;García S.L.;4652.16;Servicio de mantenimiento;448;Andalucía
2023-11-11;Acme Distribuciones S.L.;2783.55;Consultoría técnica;219;Galicia
2023-11-12;Muñoz Hermanos;1695.87;Servicio de mantenimiento;500;Madrid
2023-11-13;Acme Distribuciones S.L.;4275.25;Revisión anual de equipos;322;Andalucía
2023-11-14;Peña & Hijos;3880.17;Revisión anual de equipos;306;País Vasco
2023-11-15;Peña & Hijos;1300.62;Consultoría técnica;32;Cataluña
2023-11-16;Ibáñez Logística;4207.81;Consultoría técnica;398;País Vasco
2023-11-17;Muñoz Hermanos;505.29;Consultoría técnica;18;Galicia
2023-11-18;Ibáñez Logística;4574.21;Servicio de mantenimiento;311;País Vasco
2023-11-19;Acme Distribuciones S.L.;4381.30;Revisión anual de equipos;163;Andalucía
2023-11-20;"Taller ""El Rápido""";2467.39;Formación interna;332;País Vasco
2023-11-21;Fernández, Asociados;1414.93;Servicio de mantenimiento;489;Madrid
2023-11-22;Acme Distribuciones S.L.;3670.38;Servicio de mantenimiento;78;Aragón
2023-11-23;Muñoz Hermanos;1934.12;Compra de material informático;211;Madrid
2023-11-24;Núñez Ortega y Cía.;3126.40;Consultoría técnica;290;País Vasco
2023-11-25;García S.L.;1393.15;Compra de material informático;305;Madrid
2023-11-26;Acme Distribuciones S.L.;1775.71;Servicio de mantenimiento;366;Andalucía
2023-11-27;Núñez Ortega y Cía.;4675.54;Formación interna;480;País Vasco
2023-11-28;García S.L.;976.94;Servicio de mantenimiento;462;Cataluña
2023-11-29;Núñez Ortega y Cía.;85.97;Formación interna;17;Andalucía
2023-11-30;Peña & Hijos;320.76;Transporte de mercancía;421;Cataluña
2023-12-01;"Taller ""El Rápido""";1070.80;Transporte de mercancía;467;Galicia
2023-12-02;García S.L.;4127.56;Consultoría técnica;209;Madrid
2023-12-03;Núñez Ortega y Cía.;4627.11;Compra de material informático;294;Andalucía
2023-12-04;Peña & Hijos;76.76;Formación interna;62;Madrid
2023-12-05;Núñez Ortega y Cía.;4810.29;Servicio de mantenimiento;430;Madrid
2023-12-06;Fernández, Asociados;756.16;Compra de material informático;436;Cataluña
2023-12-07;Núñez Ortega y Cía.;4310.34;Formación interna;63;Andalucía
2023-12-08;Ibáñez Logística;3280.25;Transporte de mercancía;220;Aragón
2023-12-09;Peña & Hijos;963.44;Consultoría técnica;412;Madrid
2023-12-10;Acme Distribuciones S.L.;2521.54;Formación interna;91;País Vasco
2023-12-11;Peña & Hijos;1992.64;Formación interna;310;Andalucía
2023-12-12;Núñez Ortega y Cía.;651.21;Consultoría técnica;67;Cataluña
2023-12-13;Fernández, Asociados;4790.94;Formación interna;229;País Vasco
2023-12-14;Núñez Ortega y Cía.;4397.09;Transporte de mercancía;269;País Vasco
2023-12-15;"Taller ""El Rápido""";1030.66;Formación interna;29;Galicia
2023-12-16;Núñez Ortega y Cía.;2196.03;Consultoría técnica;398;Andalucía
2023-12-17;Acme Distribuciones S.L.;2546.05;Transporte de mercancía;376;Madrid
2023-12-18;Fernández, Asociados;2136.25;Compra de material informático;163;Andalucía
2023-12-19;"Taller ""El Rápido""";65.49;Compra de material informático;440;Cataluña
2023-12-20;Fernández, Asociados;3290.30;Formación interna;374;País Vasco
2023-12-21;Núñez Ortega y Cía.;2116.12;Compra de material informático;322;Galicia
2023-12-22;Fernández, Asociados;2081.87;Servicio de mantenimiento;40;Galicia
2023-12-23;Muñoz Hermanos;1305.27;Transporte de mercancía;350;Cataluña
2023-12-24;Ibáñez Logística;587.16;Formación interna;155;Galicia
2023-12-25;Peña & Hijos;1178.30;Formación interna;253;Madrid
2023-12-26;Peña & Hijos;554.12;Compra de material informático;238;Aragón
