Fecha,Cliente,Importe,Concepto,Cantidad,Región,Código,Estado
2023-11-02,García S.L.,1128.72,Formación interna,336,Galicia,D-1446,En revisión
2023-11-03,"Taller ""El Rápido""",2460.43,Servicio de mantenimiento,252,Galicia,D-9111,Pendiente
2023-11-04,Acme Distribuciones S.L.,3607.54,Transporte de mercancía,212,País Vasco,F-4997,Anulado
2023-11-05,"Fernández, Asociados",607.02,Compra de material informático,63,Galicia,D-9181,Pendiente
2023-11-06,Peña & Hijos,3600.98,Formación interna,67,Andalucía,E-5685,Pendiente
2023-11-07,Peña & Hijos,223.20,Formación interna,423,Cataluña,D-9154,Anulado
2023-11-08,Ibáñez Logística,1649.54,Transporte de mercancía,77,Galicia,E-2757,Pagado
2023-11-09,García S.L.,2067.99,Compra de material informático,75,Andalucía,C-3973,En revisión
2023-11-10,García S.L.,3380.86,Formación interna,36,Galicia,D-6214,En revisión
2023-11-11,Muñoz Hermanos,2082.05,Revisión anual de equipos,158,Andalucía,D-2612,Anulado
2023-11-12,Muñoz Hermanos,469.20,Revisión anual de equipos,8,Galicia,G-3566,En revisión
2023-11-13,García S.L.,506.07,Revisión anual de equipos,461,Cataluña,E-9230,Pendiente
2023-11-14,Peña & Hijos,661.58,Consultoría técnica,162,Andalucía,D-0548,Anulado
2023-11-15,"Taller ""El Rápido""",4070.57,Formación interna,98,Galicia,G-1188,En revisión
2023-11-16,"Fernández, Asociados",3055.78,Revisión anual de equipos,44,Galicia,E-3353,Anulado
2023-11-17,Núñez Ortega y Cía.,2343.70,Servicio de mantenimiento,498,Andalucía,D-2170,En revisión
2023-11-18,Ibáñez Logística,1575.18,Consultoría técnica,88,Cataluña,A-9840,Pendiente
2023-11-19,Acme Distribuciones S.L.,3342.30,Compra de material informático,72,Madrid,G-0071,Pendiente
2023-11-20,"Taller ""El Rápido""",1584.61,Revisión anual de equipos,141,Madrid,H-4803,Anulado
2023-11-21,García S.L.,1053.99,Servicio de mantenimiento,286,Andalucía,E-0245,Pendiente
2023-11-22,Peña & Hijos,1755.88,Consultoría técnica,277,Andalucía,F-2121,En revisión
2023-11-23,"Fernández, Asociados",969.45,Servicio de mantenimiento,202,Madrid,C-8372,Pendiente
2023-11-24,"Fernández, Asociados",626.07,Servicio de mantenimiento,165,Aragón,F-6933,Anulado
2023-11-25,García S.L.,4180.53,Formación interna,493,Madrid,C-1161,Pagado
2023-11-26,García S.L.,4625.67,Transporte de mercancía,441,Madrid,F-7188,Pendiente
2023-11-27,"Fernández, Asociados",2220.85,Formación interna,94,Galicia,A-9502,Pagado
2023-11-28,Núñez Ortega y Cía.,2948.67,Formación interna,85,Andalucía,B-6540,Pendiente
2023-11-29,Núñez Ortega y Cía.,2251.77,Formación interna,66,Andalucía,D-2861,Pagado
2023-11-30,García S.L.,1364.62,Transporte de mercancía,210,Madrid,F-2519,Anulado
2023-12-01,Peña & Hijos,1132.24,Revisión anual de equipos,271,País Vasco,H-3496,Anulado
2023-12-02,Peña & Hijos,2769.82,Revisión anual de equipos,131,Madrid,C-4475,En revisión
2023-12-03,Acme Distribuciones S.L.,4986.10,Formación interna,478,Galicia,C-7712,Anulado
2023-12-04,García S.L.,299.94,Consultoría técnica,291,Aragón,H-2401,En revisión
