Fecha,Cliente,Importe,Concepto,Cantidad
2023-08-13,García S.L.,2264.32,Consultoría técnica,330
2023-08-14,Acme Distribuciones S.L.,1823.69,Transporte de mercancía,119
2023-08-15,Núñez Ortega y Cía.,4159.85,Transporte de mercancía,74
2023-08-16,Núñez Ortega y Cía.,1541.97,Servicio de mantenimiento,4
2023-08-17,Acme Distribuciones S.L.,4904.18,Servicio de mantenimiento,5
2023-08-18,"Taller ""El Rápido""",3235.40,Consultoría técnica,368
2023-08-19,García S.L.,3232.09,Compra de material informático,187
2023-08-20,"Fernández, Asociados",642.97,Transporte de mercancía,279
2023-08-21,"Taller ""El Rápido""",1506.73,Servicio de mantenimiento,469
2023-08-22,Muñoz Hermanos,4784.08,Formación interna,349
2023-08-23,Núñez Ortega y Cía.,1298.44,Transporte de mercancía,81
2023-08-24,Ibáñez Logística,539.29,Transporte de mercancía,20
2023-08-25,Peña & Hijos,521.62,Servicio de mantenimiento,376
2023-08-26,Núñez Ortega y Cía.,3829.80,Transporte de mercancía,425
2023-08-27,"Taller ""El Rápido""",437.10,Revisión anual de equipos,346
2023-08-28,Acme Distribuciones S.L.,2445.92,Transporte de mercancía,371
2023-08-29,Peña & Hijos,3078.69,Transporte de mercancía,312
2023-08-30,Núñez Ortega y Cía.,3379.29,Compra de material informático,337
2023-08-31,Núñez Ortega y Cía.,975.19,Formación interna,307
2023-09-01,García S.L.,1412.55,Revisión anual de equipos,59
2023-09-02,Ibáñez Logística,4188.18,Revisión anual de equipos,368
2023-09-03,Muñoz Hermanos,1050.51,Transporte de mercancía,8
2023-09-04,Muñoz Hermanos,3113.26,Formación interna,325
2023-09-05,"Fernández, Asociados",4163.43,Servicio de mantenimiento,242
2023-09-06,Muñoz Hermanos,883.62,Compra de material informático,476
2023-09-07,Peña & Hijos,4997.35,Compra de material informático,24
2023-09-08,Muñoz Hermanos,3262.30,Transporte de mercancía,6
2023-09-09,Muñoz Hermanos,2444.25,Servicio de mantenimiento,153
2023-09-10,"Taller ""El Rápido""",2095.06,Consultoría técnica,245
2023-09-11,"Taller ""El Rápido""",596.71,Formación interna,34
2023-09-12,Muñoz Hermanos,3185.01,Consultoría técnica,101
2023-09-13,García S.L.,522.34,Compra de material informático,107
2023-09-14,"Taller ""El Rápido""",1891.21,Revisión anual de equipos,465
2023-09-15,"Taller ""El Rápido""",2490.84,Consultoría técnica,248
2023-09-16,Ibáñez Logística,4347.93,Transporte de mercancía,266
2023-09-17,"Fernández, Asociados",1056.00,Servicio de mantenimiento,387
2023-09-18,García S.L.,1140.83,Transporte de mercancía,118
2023-09-19,Muñoz Hermanos,3812.90,Compra de material informático,186
2023-09-20,Muñoz Hermanos,4582.59,Formación interna,49
2023-09-21,Peña & Hijos,899.57,Formación interna,200
