Fecha,Cliente,Importe,Concepto,Cantidad
2023-08-18,Ibáñez Logística,2070.22,Servicio de mantenimiento,46
2023-08-19,García S.L.,332.12,Compra de material informático,306
2023-08-20,Acme Distribuciones S.L.,607.35,Revisión anual de equipos,164
2023-08-21,Peña & Hijos,2630.48,Servicio de mantenimiento,64
2023-08-22,Acme Distribuciones S.L.,4947.00,Formación interna,155
2023-08-23,Ibáñez Logística,3152.46,Transporte de mercancía,224
2023-08-24,Ibáñez Logística,3858.31,Formación interna,120
2023-08-25,"Taller ""El Rápido""",1062.01,Formación interna,74
2023-08-26,Muñoz Hermanos,1074.38,Consultoría técnica,299
2023-08-27,García S.L.,4661.68,Consultoría técnica,397
2023-08-28,Peña & Hijos,1755.39,Servicio de mantenimiento,19
2023-08-29,Ibáñez Logística,927.81,Consultoría técnica,336
2023-08-30,"Fernández, Asociados",3174.76,Servicio de mantenimiento,290
2023-08-31,García S.L.,1188.49,Formación interna,311
2023-09-01,Núñez Ortega y Cía.,3512.54,Transporte de mercancía,244
2023-09-02,Ibáñez Logística,3654.68,Transporte de mercancía,170
2023-09-03,Núñez Ortega y Cía.,3297.96,Formación interna,151
2023-09-04,García S.L.,1203.50,Transporte de mercancía,2
2023-09-05,"Taller ""El Rápido""",3543.10,Consultoría técnica,293
2023-09-06,Peña & Hijos,2653.78,Revisión anual de equipos,282
2023-09-07,Acme Distribuciones S.L.,910.65,Transporte de mercancía,211
2023-09-08,Muñoz Hermanos,4700.51,Servicio de mantenimiento,114
2023-09-09,"Fernández, Asociados",3310.42,Revisión anual de equipos,63
2023-09-10,Núñez Ortega y Cía.,4916.01,Servicio de mantenimiento,353
2023-09-11,Peña & Hijos,759.40,Transporte de mercancía,286
2023-09-12,"Fernández, Asociados",3058.53,Servicio de mantenimiento,224
2023-09-13,Núñez Ortega y Cía.,1605.95,Compra de material informático,287
2023-09-14,Acme Distribuciones S.L.,621.44,Formación interna,305
2023-09-15,Núñez Ortega y Cía.,2666.29,Formación interna,434
2023-09-16,García S.L.,4434.19,Revisión anual de equipos,399
2023-09-17,Peña & Hijos,4510.03,Revisión anual de equipos,1
2023-09-18,García S.L.,4437.08,Consultoría técnica,93
2023-09-19,Núñez Ortega y Cía.,3363.00,Revisión anual de equipos,90
2023-09-20,García S.L.,2177.18,Formación interna,328
2023-09-21,Acme Distribuciones S.L.,2351.69,Transporte de mercancía,485
2023-09-22,"Taller ""El Rápido""",1404.07,Formación interna,414
2023-09-23,Ibáñez Logística,65.17,Consultoría técnica,445
2023-09-24,Núñez Ortega y Cía.,1872.17,Transporte de mercancía,382
2023-09-25,Acme Distribuciones S.L.,3194.21,Transporte de mercancía,48
2023-09-26,Muñoz Hermanos,352.61,Compra de material informático,190
2023-09-27,"Fernández, Asociados",693.90,Revisión anual de equipos,235
2023-09-28,Muñoz Hermanos,84.34,Formación interna,412
2023-09-29,"Taller ""El Rápido""",1282.15,Consultoría técnica,397
2023-09-30,Ibáñez Logística,2477.16,Compra de material informático,254
2023-10-01,Muñoz Hermanos,1273.53,Compra de material informático,180
2023-10-02,Acme Distribuciones S.L.,1174.44,Revisión anual de equipos,61
2023-10-03,Núñez Ortega y Cía.,2878.51,Servicio de mantenimiento,417
2023-10-04,Peña & Hijos,1914.57,Servicio de mantenimiento,423
2023-10-05,Ibáñez Logística,4136.16,Transporte de mercancía,203
2023-10-06,Acme Distribuciones S.L.,1481.20,Compra de material informático,32
2023-10-07,Peña & Hijos,376.57,Compra de material informático,314
2023-10-08,Muñoz Hermanos,1872.67,Transporte de mercancía,109
2023-10-09,Muñoz Hermanos,3653.60,Transporte de mercancía,64
2023-10-10,"Taller ""El Rápido""",912.18,Formación interna,268
2023-10-11,Ibáñez Logística,2704.02,Formación interna,72
2023-10-12,Ibáñez Logística,3956.92,Consultoría técnica,335
2023-10-13,Muñoz Hermanos,226.74,Revisión anual de equipos,185
2023-10-14,Muñoz Hermanos,1106.44,Transporte de mercancía,7
2023-10-15,Acme Distribuciones S.L.,2493.52,Transporte de mercancía,483
2023-10-16,Núñez Ortega y Cía.,2520.61,Revisión anual de equipos,364
2023-10-17,Muñoz Hermanos,182.72,Compra de material informático,191
2023-10-18,"Fernández, Asociados",4095.39,Servicio de mantenimiento,469
2023-10-19,García S.L.,371.75,Compra de material informático,349
2023-10-20,Acme Distribuciones S.L.,1993.33,Servicio de mantenimiento,104
2023-10-21,Núñez Ortega y Cía.,4554.81,Revisión anual de equipos,421
2023-10-22,"Fernández, Asociados",1646.45,Consultoría técnica,113
2023-10-23,Acme Distribuciones S.L.,1362.72,Compra de material informático,361
2023-10-24,Ibáñez Logística,1617.43,Compra de material informático,126
