Fecha,Cliente,Importe
2023-12-12,Núñez Ortega y Cía.,2406.49
2023-12-13,Ibáñez Logística,4296.32
2023-12-14,Núñez Ortega y Cía.,4256.88
2023-12-15,"Taller ""El Rápido""",3534.41
2023-12-16,Núñez Ortega y Cía.,1919.60
2023-12-17,"Taller ""El Rápido""",3483.30
2023-12-18,Núñez Ortega y Cía.,809.07
2023-12-19,"Fernández, Asociados",4890.59
2023-12-20,Núñez Ortega y Cía.,2515.34
2023-12-21,Ibáñez Logística,2765.59
2023-12-22,Acme Distribuciones S.L.,2412.47
2023-12-23,García S.L.,4756.36
2023-12-24,Muñoz Hermanos,3034.67
2023-12-25,Ibáñez Logística,229.38
2023-12-26,Núñez Ortega y Cía.,3257.55
2023-12-27,Muñoz Hermanos,2609.00
2023-12-28,García S.L.,3971.91
2023-12-29,"Taller ""El Rápido""",3108.28
2023-12-30,Núñez Ortega y Cía.,3596.98
2023-12-31,Peña & Hijos,894.08
2024-01-01,Muñoz Hermanos,2922.08
2024-01-02,García S.L.,1112.94
2024-01-03,Muñoz Hermanos,1991.07
2024-01-04,Ibáñez Logística,2638.30
2024-01-05,Ibáñez Logística,4022.13
2024-01-06,Acme Distribuciones S.L.,3755.20
2024-01-07,"Taller ""El Rápido""",2872.37
2024-01-08,"Fernández, Asociados",534.27
2024-01-09,Acme Distribuciones S.L.,2467.41
2024-01-10,Muñoz Hermanos,3267.55
2024-01-11,Núñez Ortega y Cía.,2526.50
2024-01-12,García S.L.,1310.83
2024-01-13,"Taller ""El Rápido""",1192.79
2024-01-14,García S.L.,1090.95
2024-01-15,Ibáñez Logística,4867.78
2024-01-16,Núñez Ortega y Cía.,445.26
2024-01-17,"Taller ""El Rápido""",2216.68
2024-01-18,Acme Distribuciones S.L.,1330.01
2024-01-19,Muñoz Hermanos,4497.89
2024-01-20,"Taller ""El Rápido""",267.65
2024-01-21,Peña & Hijos,2658.83
2024-01-22,Núñez Ortega y Cía.,4580.55
2024-01-23,Ibáñez Logística,223.46
2024-01-24,"Fernández, Asociados",3688.56
2024-01-25,"Taller ""El Rápido""",2038.11
2024-01-26,"Fernández, Asociados",909.04
2024-01-27,Peña & Hijos,1979.49
2024-01-28,Acme Distribuciones S.L.,1115.87
2024-01-29,García S.L.,4012.91
2024-01-30,García S.L.,3840.11
2024-01-31,Peña & Hijos,4324.65
2024-02-01,Muñoz Hermanos,868.29
2024-02-02,"Fernández, Asociados",3269.14
2024-02-03,Muñoz Hermanos,2907.37
2024-02-04,Acme Distribuciones S.L.,4457.33
2024-02-05,Peña & Hijos,4509.10
2024-02-06,Acme Distribuciones S.L.,4267.97
2024-02-07,Muñoz Hermanos,666.07
2024-02-08,"Fernández, Asociados",1119.36
2024-02-09,Acme Distribuciones S.L.,1120.29
2024-02-10,Peña & Hijos,3051.90
2024-02-11,"Fernández, Asociados",1969.56
2024-02-12,Ibáñez Logística,4742.78
2024-02-13,"Taller ""El Rápido""",923.00
2024-02-14,"Fernández, Asociados",4182.03
2024-02-15,Núñez Ortega y Cía.,1667.52
2024-02-16,"Taller ""El Rápido""",2532.44
2024-02-17,Acme Distribuciones S.L.,3395.22
2024-02-18,Núñez Ortega y Cía.,3317.65
2024-02-19,Ibáñez Logística,3753.71
2024-02-20,Núñez Ortega y Cía.,412.25
2024-02-21,Peña & Hijos,2809.42
2024-02-22,"Taller ""El Rápido""",3639.76
2024-02-23,Muñoz Hermanos,4662.01
2024-02-24,García S.L.,1251.22
2024-02-25,"Taller ""El Rápido""",4560.89
2024-02-26,"Taller ""El Rápido""",2831.96
2024-02-27,Acme Distribuciones S.L.,3517.17
2024-02-28,Núñez Ortega y Cía.,126.26
2024-02-29,Ibáñez Logística,1279.10
2024-03-01,Muñoz Hermanos,4.51
2024-03-02,Acme Distribuciones S.L.,1270.83
2024-03-03,"Fernández, Asociados",3872.21
2024-03-04,Peña & Hijos,1261.98
2024-03-05,Acme Distribuciones S.L.,627.06
2024-03-06,Ibáñez Logística,3928.01
2024-03-07,Acme Distribuciones S.L.,2872.26
2024-03-08,Peña & Hijos,1256.33
2024-03-09,Ibáñez Logística,2341.72
2024-03-10,Peña & Hijos,4363.34
2024-03-11,Peña & Hijos,3763.90
2024-03-12,Núñez Ortega y Cía.,4967.41
2024-03-13,Núñez Ortega y Cía.,2947.63
2024-03-14,Ibáñez Logística,1835.09
2024-03-15,Muñoz Hermanos,675.18
2024-03-16,Ibáñez Logística,1459.39
2024-03-17,Núñez Ortega y Cía.,65.97
2024-03-18,Acme Distribuciones S.L.,3782.95
2024-03-19,Peña & Hijos,3522.91
2024-03-20,García S.L.,4347.56
2024-03-21,Muñoz Hermanos,4488.11
2024-03-22,"Taller ""El Rápido""",3703.89
2024-03-23,"Fernández, Asociados",1937.06
2024-03-24,"Fernández, Asociados",2481.31
2024-03-25,Núñez Ortega y Cía.,3682.07
2024-03-26,Muñoz Hermanos,3872.83
2024-03-27,Peña & Hijos,4420.75
2024-03-28,Acme Distribuciones S.L.,2026.70
2024-03-29,Peña & Hijos,874.63
2024-03-30,"Fernández, Asociados",4553.06
2024-03-31,"Taller ""El Rápido""",2409.91
2024-04-01,Ibáñez Logística,1853.82
2024-04-02,Acme Distribuciones S.L.,1813.36
2024-04-03,García S.L.,3451.43
2024-04-04,Ibáñez Logística,3809.60
2024-04-05,"Taller ""El Rápido""",2984.37
2024-04-06,Muñoz Hermanos,2118.08
2024-04-07,Peña & Hijos,4316.56
2024-04-08,Acme Distribuciones S.L.,99.30
2024-04-09,Muñoz Hermanos,4410.48
2024-04-10,"Fernández, Asociados",4079.18
2024-04-11,Peña & Hijos,3206.95
2024-04-12,"Taller ""El Rápido""",3940.67
2024-04-13,Peña & Hijos,3631.51
2024-04-14,Ibáñez Logística,2736.73
2024-04-15,Peña & Hijos,2933.80
2024-04-16,Muñoz Hermanos,2793.78
2024-04-17,"Taller ""El Rápido""",4623.86
2024-04-18,Muñoz Hermanos,917.92
2024-04-19,Acme Distribuciones S.L.,3866.44
2024-04-20,Núñez Ortega y Cía.,1332.60
2024-04-21,Acme Distribuciones S.L.,1804.41
2024-04-22,Muñoz Hermanos,1251.73
2024-04-23,"Fernández, Asociados",3729.11
2024-04-24,Muñoz Hermanos,4611.69
2024-04-25,García S.L.,332.84
