Fecha;Cliente;Importe;Concepto;Cantidad;Región;Código;Estado;Fecha_2;Cliente_2;Importe_2;Concepto_2;Cantidad_2;Región_2;Código_2;Estado_2;Fecha_3;Cliente_3;Importe_3;Concepto_3;Cantidad_3;Región_3;Código_3;Estado_3;Fecha_4;Cliente_4;Importe_4;Concepto_4;Cantidad_4;Región_4;Código_4;Estado_4;Fecha_5;Cliente_5;Importe_5;Concepto_5;Cantidad_5;Región_5;Código_5;Estado_5
2023-06-04;Acme Distribuciones S.L.;1440.92;Revisión anual de equipos;188;País Vasco;G-6845;Anulado;2023-06-12;"Taller ""El Rápido""";963.29;Formación interna;235;Madrid;A-8092;Pendiente;2023-06-20;Peña & Hijos;4548.58;Revisión anual de equipos;73;Cataluña;C-3984;Pendiente;2023-06-28;Acme Distribuciones S.L.;1183.04;Formación interna;226;Andalucía;F-3267;Anulado;2023-07-06;Ibáñez Logística;1289.80;Consultoría técnica;33;Aragón;B-9287;Pendiente
2023-06-05;Ibáñez Logística;4575.56;Compra de material informático;255;Andalucía;B-4223;Pagado;2023-06-13;"Taller ""El Rápido""";348.61;Formación interna;378;Andalucía;D-3708;En revisión;2023-06-21;Ibáñez Logística;3148.83;Consultoría técnica;150;País Vasco;C-0341;En revisión;2023-06-29;"Taller ""El Rápido""";1574.32;Formación interna;490;Galicia;G-3063;Pagado;2023-07-07;Peña & Hijos;961.54;Compra de material informático;325;Aragón;F-2301;Anulado
2023-06-06;Ibáñez Logística;4280.76;Transporte de mercancía;481;Andalucía;G-0734;Pagado;2023-06-14;Acme Distribuciones S.L.;2749.21;Revisión anual de equipos;484;País Vasco;G-9754;Pagado;2023-06-22;Muñoz Hermanos;3218.20;Revisión anual de equipos;301;País Vasco;D-7457;Anulado;2023-06-30;Fernández, Asociados;4607.21;Servicio de mantenimiento;310;Aragón;C-1334;Pendiente;2023-07-08;Fernández, Asociados;3181.93;Transporte de mercancía;47;Andalucía;H-1045;En revisión
2023-06-07;Fernández, Asociados;4001.57;Compra de material informático;12;Andalucía;D-7078;Anulado;2023-06-15;"Taller ""El Rápido""";2068.02;Transporte de mercancía;378;Cataluña;E-6223;Pendiente;2023-06-23;Muñoz Hermanos;947.37;Compra de material informático;154;Galicia;D-6671;En revisión;2023-07-01;Fernández, Asociados;3198.65;Revisión anual de equipos;394;Cataluña;A-1298;Pagado;2023-07-09;Acme Distribuciones S.L.;1118.72;Servicio de mantenimiento;469;Galicia;A-1532;Anulado
2023-06-08;Muñoz Hermanos;4147.56;Consultoría técnica;116;Galicia;H-8831;Pendiente;2023-06-16;García S.L.;3771.91;Formación interna;399;Madrid;A-9296;Pagado;2023-06-24;García S.L.;3364.65;Servicio de mantenimiento;335;Aragón;E-4650;Pagado;2023-07-02;Núñez Ortega y Cía.;995.86;Consultoría técnica;366;Galicia;C-9322;En revisión;2023-07-10;García S.L.;1330.92;Servicio de mantenimiento;377;País Vasco;G-2243;En revisión
2023-06-09;"Taller ""El Rápido""";1825.16;Revisión anual de equipos;438;Cataluña;G-7142;En revisión;2023-06-17;Muñoz Hermanos;4161.77;Transporte de mercancía;469;Andalucía;E-6855;En revisión;2023-06-25;Fernández, Asociados;765.99;Revisión anual de equipos;199;Andalucía;E-6960;Pagado;2023-07-03;"Taller ""El Rápido""";272.87;Revisión anual de equipos;39;Andalucía;C-0511;Pendiente;2023-07-11;García S.L.;1088.96;Formación interna;276;Madrid;A-4138;Pagado
2023-06-10;García S.L.;1075.81;Revisión anual de equipos;245;Galicia;C-5534;Anulado;2023-06-18;Acme Distribuciones S.L.;1587.48;Revisión anual de equipos;26;Cataluña;A-4006;Pagado;2023-06-26;Fernández, Asociados;4558.40;Formación interna;410;Madrid;B-5287;Pagado;2023-07-04;Muñoz Hermanos;1317.37;Compra de material informático;31;Madrid;A-3571;Pagado;2023-07-12;Núñez Ortega y Cía.;3644.58;Transporte de mercancía;448;Galicia;H-0092;Anulado
2023-06-11;Peña & Hijos;3436.45;Formación interna;259;Cataluña;A-7282;En revisión;2023-06-19;Peña & Hijos;3082.82;Revisión anual de equipos;64;Galicia;E-7345;Anulado;2023-06-27;Ibáñez Logística;4001.95;Revisión anual de equipos;40;Andalucía;A-6957;Pendiente;2023-07-05;Fernández, Asociados;370.92;Revisión anual de equipos;215;Galicia;A-0693;En revisión;2023-07-13;Peña & Hijos;747.31;Compra de material informático;277;País Vasco;F-4464;Pendiente
2023-06-12;Muñoz Hermanos;556.53;Consultoría técnica;67;Cataluña;G-9489;Anulado;2023-06-20;Acme Distribuciones S.L.;3218.60;Transporte de mercancía;400;Galicia;F-1038;En revisión;2023-06-28;Ibáñez Logística;756.71;Formación interna;226;Madrid;H-4689;Anulado;2023-07-06;Acme Distribuciones S.L.;3284.70;Formación interna;1;Cataluña;B-7279;En revisión;2023-07-14;Núñez Ortega y Cía.;2161.76;Compra de material informático;276;Galicia;H-5579;Pagado
2023-06-13;Acme Distribuciones S.L.;2538.20;Compra de material informático;464;Aragón;A-0572;Pendiente;2023-06-21;"Taller ""El Rápido""";567.40;Consultoría técnica;286;Andalucía;B-1983;Pagado;2023-06-29;Muñoz Hermanos;1137.67;Transporte de mercancía;118;Aragón;A-8940;En revisión;2023-07-07;Acme Distribuciones S.L.;134.70;Formación interna;220;Andalucía;H-0309;Pendiente;2023-07-15;Fernández, Asociados;2195.13;Consultoría técnica;86;Cataluña;E-6276;Pagado
