Fecha	Cliente	Importe
2023-07-13	Muñoz Hermanos	4418.81
2023-07-14	Muñoz Hermanos	1643.11
2023-07-15	Ibáñez Logística	1580.04
2023-07-16	Ibáñez Logística	1783.20
2023-07-17	Núñez Ortega y Cía.	992.16
2023-07-18	García S.L.	1436.32
2023-07-19	Ibáñez Logística	21.10
2023-07-20	Ibáñez Logística	3905.22
2023-07-21	Fernández, Asociados	4976.96
2023-07-22	Muñoz Hermanos	1959.42
2023-07-23	"Taller ""El Rápido"""	102.33
2023-07-24	Ibáñez Logística	2932.51
2023-07-25	"Taller ""El Rápido"""	2476.02
2023-07-26	Peña & Hijos	4242.33
2023-07-27	Ibáñez Logística	73.18
2023-07-28	Ibáñez Logística	1904.54
2023-07-29	Ibáñez Logística	3514.69
2023-07-30	Peña & Hijos	2635.86
2023-07-31	Peña & Hijos	2370.42
2023-08-01	Muñoz Hermanos	4179.74
2023-08-02	Acme Distribuciones S.L.	2196.02
2023-08-03	Ibáñez Logística	4285.78
2023-08-04	García S.L.	3647.72
2023-08-05	Peña & Hijos	3037.45
2023-08-06	Muñoz Hermanos	2084.89
2023-08-07	Núñez Ortega y Cía.	2824.62
2023-08-08	García S.L.	974.94
2023-08-09	Peña & Hijos	1031.07
2023-08-10	Muñoz Hermanos	3774.19
2023-08-11	Muñoz Hermanos	2638.62
2023-08-12	Peña & Hijos	4161.28
2023-08-13	Fernández, Asociados	1086.31
2023-08-14	Peña & Hijos	2089.13
2023-08-15	"Taller ""El Rápido"""	1218.34
2023-08-16	Núñez Ortega y Cía.	3466.49
2023-08-17	Acme Distribuciones S.L.	2520.96
2023-08-18	Muñoz Hermanos	3600.57
2023-08-19	Peña & Hijos	2365.81
2023-08-20	Acme Distribuciones S.L.	3230.74
2023-08-21	Ibáñez Logística	1047.15
2023-08-22	García S.L.	358.03
2023-08-23	Ibáñez Logística	1952.41
2023-08-24	"Taller ""El Rápido"""	2912.95
2023-08-25	García S.L.	4404.56
2023-08-26	"Taller ""El Rápido"""	1194.61
2023-08-27	Peña & Hijos	3706.17
2023-08-28	Muñoz Hermanos	2091.67
2023-08-29	García S.L.	4097.53
2023-08-30	Muñoz Hermanos	1412.66
2023-08-31	García S.L.	2006.36
2023-09-01	García S.L.	4342.47
2023-09-02	Muñoz Hermanos	2612.28
2023-09-03	"Taller ""El Rápido"""	2746.64
2023-09-04	Ibáñez Logística	1160.47
2023-09-05	Acme Distribuciones S.L.	1309.89
2023-09-06	Ibáñez Logística	115.03
2023-09-07	Ibáñez Logística	1633.41
2023-09-08	Peña & Hijos	1094.90
2023-09-09	Ibáñez Logística	1422.45
2023-09-10	Muñoz Hermanos	3810.62
2023-09-11	Núñez Ortega y Cía.	736.09
2023-09-12	Acme Distribuciones S.L.	1624.07
2023-09-13	Fernández, Asociados	4838.71
2023-09-14	Fernández, Asociados	4754.79
2023-09-15	Ibáñez Logística	4672.19
2023-09-16	Muñoz Hermanos	2970.08
2023-09-17	"Taller ""El Rápido"""	3203.87
2023-09-18	Muñoz Hermanos	1963.90
2023-09-19	Peña & Hijos	2432.26
2023-09-20	"Taller ""El Rápido"""	4636.80
2023-09-21	Muñoz Hermanos	2367.74
2023-09-22	"Taller ""El Rápido"""	2932.60
2023-09-23	Fernández, Asociados	3536.51
2023-09-24	"Taller ""El Rápido"""	3985.88
2023-09-25	Fernández, Asociados	3887.91
2023-09-26	García S.L.	756.81
2023-09-27	Muñoz Hermanos	1105.29
2023-09-28	Acme Distribuciones S.L.	1959.58
2023-09-29	"Taller ""El Rápido"""	258.49
2023-09-30	Peña & Hijos	484.90
2023-10-01	Fernández, Asociados	253.79
2023-10-02	Acme Distribuciones S.L.	956.94
2023-10-03	Peña & Hijos	4428.87
2023-10-04	Acme Distribuciones S.L.	1807.12
2023-10-05	Peña & Hijos	3451.52
2023-10-06	Fernández, Asociados	2207.72
2023-10-07	Ibáñez Logística	3163.48
2023-10-08	Fernández, Asociados	3531.93
2023-10-09	Peña & Hijos	4652.96
2023-10-10	Fernández, Asociados	3616.12
2023-10-11	Ibáñez Logística	519.02
2023-10-12	Acme Distribuciones S.L.	1130.96
2023-10-13	Peña & Hijos	4756.70
2023-10-14	García S.L.	4436.34
2023-10-15	Muñoz Hermanos	1702.87
2023-10-16	Núñez Ortega y Cía.	1377.30
2023-10-17	"Taller ""El Rápido"""	2428.88
2023-10-18	Ibáñez Logística	2276.15
2023-10-19	Peña & Hijos	4910.76
2023-10-20	"Taller ""El Rápido"""	3857.21
2023-10-21	Fernández, Asociados	3596.05
2023-10-22	Ibáñez Logística	2105.28
2023-10-23	Muñoz Hermanos	1288.44
2023-10-24	"Taller ""El Rápido"""	2814.73
2023-10-25	Acme Distribuciones S.L.	3310.46
2023-10-26	García S.L.	1534.20
2023-10-27	"Taller ""El Rápido"""	3053.16
2023-10-28	Peña & Hijos	504.36
2023-10-29	Acme Distribuciones S.L.	1778.07
2023-10-30	Acme Distribuciones S.L.	3018.52
2023-10-31	García S.L.	2426.65
2023-11-01	García S.L.	3329.37
2023-11-02	Ibáñez Logística	466.29
2023-11-03	Ibáñez Logística	3402.83
2023-11-04	"Taller ""El Rápido"""	2139.87
2023-11-05	Núñez Ortega y Cía.	2375.54
2023-11-06	Acme Distribuciones S.L.	4638.35
2023-11-07	García S.L.	4108.70
2023-11-08	Fernández, Asociados	326.20
2023-11-09	García S.L.	2084.12
2023-11-10	García S.L.	1077.14
2023-11-11	Fernández, Asociados	4470.42
2023-11-12	Muñoz Hermanos	3017.24
2023-11-13	Ibáñez Logística	1365.90
2023-11-14	Núñez Ortega y Cía.	619.07
2023-11-15	"Taller ""El Rápido"""	4207.81
2023-11-16	García S.L.	4853.70
2023-11-17	Ibáñez Logística	4131.71
2023-11-18	Acme Distribuciones S.L.	170.43
2023-11-19	García S.L.	61.71
2023-11-20	"Taller ""El Rápido"""	1493.04
2023-11-21	García S.L.	2726.41
2023-11-22	Fernández, Asociados	4380.34
2023-11-23	"Taller ""El Rápido"""	1954.48
2023-11-24	Fernández, Asociados	2437.87
2023-11-25	Muñoz Hermanos	3702.34
2023-11-26	Núñez Ortega y Cía.	3492.55
2023-11-27	Ibáñez Logística	4376.46
2023-11-28	Muñoz Hermanos	83.24
2023-11-29	Muñoz Hermanos	4289.07
2023-11-30	"Taller ""El Rápido"""	289.30
2023-12-01	Peña & Hijos	4097.88
2023-12-02	Ibáñez Logística	3925.43
2023-12-03	Fernández, Asociados	1619.02
2023-12-04	Acme Distribuciones S.L.	1092.52
2023-12-05	Núñez Ortega y Cía.	1500.62
2023-12-06	"Taller ""El Rápido"""	167.25
2023-12-07	García S.L.	1437.84
2023-12-08	Acme Distribuciones S.L.	2572.82
2023-12-09	Acme Distribuciones S.L.	791.90
2023-12-10	Ibáñez Logística	1374.72
