Fecha	Cliente	Importe	Concepto	Cantidad	Región	Código	Estado	Fecha_2	Cliente_2	Importe_2	Concepto_2	Cantidad_2	Región_2	Código_2	Estado_2	Fecha_3	Cliente_3	Importe_3	Concepto_3	Cantidad_3	Región_3	Código_3	Estado_3	Fecha_4	Cliente_4	Importe_4	Concepto_4	Cantidad_4	Región_4	Código_4	Estado_4	Fecha_5	Cliente_5	Importe_5	Concepto_5	Cantidad_5	Región_5	Código_5	Estado_5
2023-06-15	Acme Distribuciones S.L.	2237.67	Revisión anual de equipos	315	País Vasco	F-6383	Anulado	2023-06-23	Fernández, Asociados	1194.26	Compra de material informático	483	Madrid	D-1398	En revisión	2023-07-01	"Taller ""El Rápido"""	796.88	Formación interna	240	Aragón	H-3752	Pagado	2023-07-09	Núñez Ortega y Cía.	4774.93	Transporte de mercancía	317	Galicia	A-1909	Pagado	2023-07-17	Peña & Hijos	4715.93	Transporte de mercancía	186	Andalucía	C-0454	Anulado
2023-06-16	Peña & Hijos	1227.57	Revisión anual de equipos	28	Madrid	D-8411	Pagado	2023-06-24	Acme Distribuciones S.L.	3422.97	Consultoría técnica	442	Aragón	H-7661	Pendiente	2023-07-02	Ibáñez Logística	1726.40	Servicio de mantenimiento	463	Aragón	H-0663	En revisión	2023-07-10	García S.L.	207.87	Transporte de mercancía	57	Cataluña	E-8643	Anulado	2023-07-18	Fernández, Asociados	4066.54	Servicio de mantenimiento	227	Andalucía	H-8502	Anulado
2023-06-17	Acme Distribuciones S.L.	1975.76	Compra de material informático	20	Madrid	H-5242	Pagado	2023-06-25	García S.L.	3950.99	Formación interna	329	Andalucía	A-7123	En revisión	2023-07-03	Acme Distribuciones S.L.	1482.16	Servicio de mantenimiento	456	País Vasco	D-6103	Pagado	2023-07-11	Acme Distribuciones S.L.	3225.98	Servicio de mantenimiento	272	Andalucía	D-0084	Anulado	2023-07-19	Fernández, Asociados	3957.48	Consultoría técnica	257	Andalucía	H-9457	Pendiente
2023-06-18	Peña & Hijos	3141.49	Formación interna	21	Andalucía	D-4075	En revisión	2023-06-26	"Taller ""El Rápido"""	4561.78	Servicio de mantenimiento	251	Madrid	H-2215	Pagado	2023-07-04	Peña & Hijos	1392.68	Servicio de mantenimiento	354	País Vasco	B-1572	Anulado	2023-07-12	Peña & Hijos	1053.52	Consultoría técnica	381	Cataluña	C-2992	En revisión	2023-07-20	Acme Distribuciones S.L.	4576.67	Revisión anual de equipos	162	País Vasco	A-0567	Pagado
2023-06-19	Acme Distribuciones S.L.	2865.57	Consultoría técnica	5	País Vasco	G-1485	Pendiente	2023-06-27	"Taller ""El Rápido"""	3002.43	Compra de material informático	480	Galicia	C-3590	Pendiente	2023-07-05	Núñez Ortega y Cía.	3271.69	Servicio de mantenimiento	4	Aragón	H-0788	Pagado	2023-07-13	"Taller ""El Rápido"""	718.72	Compra de material informático	496	Andalucía	D-7938	En revisión	2023-07-21	Peña & Hijos	1820.58	Transporte de mercancía	431	Andalucía	H-6946	Anulado
2023-06-20	Muñoz Hermanos	1606.89	Compra de material informático	41	País Vasco	A-3026	Pendiente	2023-06-28	Muñoz Hermanos	3187.25	Transporte de mercancía	131	Andalucía	F-3863	En revisión	2023-07-06	Acme Distribuciones S.L.	2741.89	Servicio de mantenimiento	282	País Vasco	B-5347	Anulado	2023-07-14	Núñez Ortega y Cía.	3279.05	Formación interna	407	Aragón	A-4347	En revisión	2023-07-22	Fernández, Asociados	3174.10	Compra de material informático	32	Galicia	F-4213	Pendiente
2023-06-21	Núñez Ortega y Cía.	4426.05	Consultoría técnica	485	País Vasco	A-6339	Anulado	2023-06-29	García S.L.	2286.36	Formación interna	38	Aragón	H-9971	Pagado	2023-07-07	Peña & Hijos	4166.13	Revisión anual de equipos	476	Galicia	D-3610	Pendiente	2023-07-15	Fernández, Asociados	652.01	Transporte de mercancía	193	Galicia	F-0797	Pagado	2023-07-23	Acme Distribuciones S.L.	4333.94	Consultoría técnica	4	Galicia	H-9641	Pagado
2023-06-22	Ibáñez Logística	3835.45	Revisión anual de equipos	444	País Vasco	F-6956	En revisión	2023-06-30	Núñez Ortega y Cía.	2118.05	Consultoría técnica	327	Cataluña	F-7469	Pendiente	2023-07-08	García S.L.	3060.67	Revisión anual de equipos	356	País Vasco	A-2959	Anulado	2023-07-16	Núñez Ortega y Cía.	1113.00	Formación interna	287	Cataluña	H-4203	En revisión	2023-07-24	García S.L.	20.17	Compra de material informático	104	Madrid	B-0739	En revisión
2023-06-23	Ibáñez Logística	4807.72	Formación interna	17	Madrid	G-6087	Pagado	2023-07-01	"Taller ""El Rápido"""	487.07	Consultoría técnica	406	Galicia	B-7919	Pendiente	2023-07-09	Muñoz Hermanos	4827.92	Consultoría técnica	21	Andalucía	C-0740	Pendiente	2023-07-17	Ibáñez Logística	169.10	Consultoría técnica	95	Aragón	A-2059	Pendiente	2023-07-25	García S.L.	311.84	Revisión anual de equipos	218	Aragón	D-1882	Pagado
2023-06-24	"Taller ""El Rápido"""	4976.31	Compra de material informático	360	Cataluña	C-5329	Pagado	2023-07-02	García S.L.	3441.68	Consultoría técnica	252	País Vasco	D-0642	Pagado	2023-07-10	Muñoz Hermanos	1235.73	Transporte de mercancía	269	Aragón	H-5757	En revisión	2023-07-18	"Taller ""El Rápido"""	468.94	Consultoría técnica	316	Aragón	E-8879	Pagado	2023-07-26	Peña & Hijos	2918.04	Transporte de mercancía	252	Galicia	G-4142	Pagado
