Fecha;Cliente;Importe
2023-05-06;Acme Distribuciones S.L.;1905.40
2023-05-07;García S.L.;2553.35
2023-05-08;Acme Distribuciones S.L.;3340.32
2023-05-09;García S.L.;4094.96
2023-05-10;Acme Distribuciones S.L.;1136.70
2023-05-11;Peña & Hijos;789.69
2023-05-12;Ibáñez Logística;815.02
2023-05-13;Acme Distribuciones S.L.;3663.74
2023-05-14;Ibáñez Logística;4376.56
2023-05-15;Ibáñez Logística;3744.90
2023-05-16;"Taller ""El Rápido""";643.13
2023-05-17;Ibáñez Logística;4888.21
2023-05-18;Núñez Ortega y Cía.;1151.72
2023-05-19;Muñoz Hermanos;3014.10
2023-05-20;Muñoz Hermanos;3806.53
2023-05-21;Peña & Hijos;3875.17
2023-05-22;Ibáñez Logística;3232.36
2023-05-23;Fernández, Asociados;3596.15
2023-05-24;Muñoz Hermanos;4363.07
2023-05-25;García S.L.;3135.67
2023-05-26;García S.L.;2042.95
2023-05-27;Muñoz Hermanos;1122.75
2023-05-28;García S.L.;3369.25
2023-05-29;García S.L.;754.60
2023-05-30;Muñoz Hermanos;3774.57
2023-05-31;Peña & Hijos;452.21
2023-06-01;Ibáñez Logística;2139.15
2023-06-02;Núñez Ortega y Cía.;3828.18
2023-06-03;Fernández, Asociados;2246.57
2023-06-04;García S.L.;3079.11
2023-06-05;Núñez Ortega y Cía.;3821.80
2023-06-06;"Taller ""El Rápido""";2300.19
2023-06-07;Ibáñez Logística;3642.52
2023-06-08;Ibáñez Logística;707.62
2023-06-09;Peña & Hijos;3136.14
2023-06-10;Acme Distribuciones S.L.;1301.70
2023-06-11;Acme Distribuciones S.L.;3911.48
2023-06-12;Fernández, Asociados;953.52
2023-06-13;Fernández, Asociados;3842.16
2023-06-14;Núñez Ortega y Cía.;4346.11
2023-06-15;Fernández, Asociados;2891.15
2023-06-16;García S.L.;4925.61
2023-06-17;Acme Distribuciones S.L.;134.06
2023-06-18;Acme Distribuciones S.L.;966.77
2023-06-19;Acme Distribuciones S.L.;2403.31
2023-06-20;Muñoz Hermanos;4969.81
2023-06-21;"Taller ""El Rápido""";4534.56
2023-06-22;Acme Distribuciones S.L.;4881.16
2023-06-23;Peña & Hijos;1881.24
2023-06-24;Muñoz Hermanos;3670.26
2023-06-25;Ibáñez Logística;1847.77
2023-06-26;García S.L.;2232.24
2023-06-27;Acme Distribuciones S.L.;319.43
2023-06-28;Fernández, Asociados;1477.32
2023-06-29;García S.L.;1893.41
2023-06-30;Muñoz Hermanos;2160.88
2023-07-01;Muñoz Hermanos;2175.81
2023-07-02;Acme Distribuciones S.L.;4759.47
2023-07-03;Ibáñez Logística;1137.01
2023-07-04;Peña & Hijos;3452.16
2023-07-05;Peña & Hijos;2006.63
2023-07-06;García S.L.;2426.78
2023-07-07;Muñoz Hermanos;1839.09
2023-07-08;Ibáñez Logística;838.68
2023-07-09;"Taller ""El Rápido""";2811.67
2023-07-10;Acme Distribuciones S.L.;103.59
2023-07-11;Núñez Ortega y Cía.;3325.61
2023-07-12;Núñez Ortega y Cía.;192.26
2023-07-13;García S.L.;1284.26
2023-07-14;Núñez Ortega y Cía.;340.35
2023-07-15;Ibáñez Logística;1643.48
2023-07-16;García S.L.;229.98
2023-07-17;Núñez Ortega y Cía.;4886.62
2023-07-18;Acme Distribuciones S.L.;4748.54
2023-07-19;Fernández, Asociados;3478.73
2023-07-20;Fernández, Asociados;2934.32
2023-07-21;Ibáñez Logística;2735.35
2023-07-22;Fernández, Asociados;3978.25
2023-07-23;Núñez Ortega y Cía.;3589.56
2023-07-24;Muñoz Hermanos;2688.94
2023-07-25;Fernández, Asociados;3808.90
2023-07-26;Núñez Ortega y Cía.;2836.53
2023-07-27;Ibáñez Logística;4486.55
2023-07-28;Fernández, Asociados;2084.82
2023-07-29;Peña & Hijos;2056.65
2023-07-30;Núñez Ortega y Cía.;4174.13
2023-07-31;Ibáñez Logística;334.76
2023-08-01;Núñez Ortega y Cía.;3613.84
2023-08-02;Núñez Ortega y Cía.;1229.87
2023-08-03;Acme Distribuciones S.L.;37.90
2023-08-04;Acme Distribuciones S.L.;329.18
2023-08-05;Peña & Hijos;1331.78
2023-08-06;Peña & Hijos;2877.64
2023-08-07;García S.L.;4005.50
2023-08-08;García S.L.;2439.21
