Fecha,Cliente,Importe,Concepto,Cantidad,Región,Código,Estado,Fecha_2,Cliente_2,Importe_2,Concepto_2,Cantidad_2,Región_2,Código_2,Estado_2,Fecha_3,Cliente_3,Importe_3,Concepto_3,Cantidad_3,Región_3,Código_3,Estado_3,Fecha_4,Cliente_4,Importe_4,Concepto_4,Cantidad_4,Región_4,Código_4,Estado_4,Fecha_5,Cliente_5,Importe_5,Concepto_5,Cantidad_5,Región_5,Código_5,Estado_5
2023-03-27,Acme Distribuciones S.L.,4026.55,Transporte de mercancía,443,Galicia,F-3443,Pendiente,2023-04-04,Núñez Ortega y Cía.,2951.61,Consultoría técnica,46,País Vasco,H-1135,Pendiente,2023-04-12,Núñez Ortega y Cía.,1793.71,Consultoría técnica,136,Madrid,A-3174,En revisión,2023-04-20,"Taller ""El Rápido""",2498.68,Transporte de mercancía,373,Andalucía,F-2517,Pendiente,2023-04-28,Ibáñez Logística,2963.29,Compra de material informático,160,Galicia,G-2774,Pagado
2023-03-28,Ibáñez Logística,2427.30,Compra de material informático,366,Galicia,D-0889,Pendiente,2023-04-05,Núñez Ortega y Cía.,497.64,Transporte de mercancía,228,Aragón,D-5812,Pendiente,2023-04-13,"Fernández, Asociados",3972.20,Formación interna,408,Madrid,D-5788,Anulado,2023-04-21,Núñez Ortega y Cía.,1754.49,Servicio de mantenimiento,379,Madrid,E-7273,Pagado,2023-04-29,"Fernández, Asociados",4086.59,Servicio de mantenimiento,373,Aragón,C-3046,Anulado
2023-03-29,Núñez Ortega y Cía.,1747.98,Formación interna,392,País Vasco,H-3191,Pagado,2023-04-06,Ibáñez Logística,2451.23,Servicio de mantenimiento,431,País Vasco,B-6238,Pagado,2023-04-14,Núñez Ortega y Cía.,4864.87,Revisión anual de equipos,324,País Vasco,G-9432,Pagado,2023-04-22,Peña & Hijos,3940.13,Formación interna,154,Andalucía,C-6442,Pagado,2023-04-30,Peña & Hijos,3236.04,Compra de material informático,148,Galicia,E-3095,En revisión
2023-03-30,Acme Distribuciones S.L.,2307.62,Servicio de mantenimiento,81,Cataluña,G-2214,Pagado,2023-04-07,"Fernández, Asociados",3426.99,Transporte de mercancía,200,Madrid,C-0443,Pagado,2023-04-15,Peña & Hijos,1209.69,Formación interna,114,Cataluña,B-0706,Anulado,2023-04-23,Acme Distribuciones S.L.,1704.19,Servicio de mantenimiento,430,País Vasco,H-8906,Pendiente,2023-05-01,Muñoz Hermanos,2836.92,Transporte de mercancía,486,Galicia,C-7851,Pendiente
2023-03-31,García S.L.,3610.34,Compra de material informático,307,Galicia,H-6327,En revisión,2023-04-08,"Fernández, Asociados",1120.70,Transporte de mercancía,308,Madrid,B-7404,Anulado,2023-04-16,Acme Distribuciones S.L.,1944.09,Compra de material informático,459,Cataluña,D-1760,Pagado,2023-04-24,García S.L.,4469.25,Consultoría técnica,178,Aragón,G-3168,En revisión,2023-05-02,García S.L.,3046.95,Consultoría técnica,116,Aragón,C-0654,Pagado
2023-04-01,Peña & Hijos,3177.29,Revisión anual de equipos,246,Andalucía,E-6789,En revisión,2023-04-09,Muñoz Hermanos,4261.27,Consultoría técnica,60,Andalucía,C-7937,Pendiente,2023-04-17,Acme Distribuciones S.L.,3578.91,Formación interna,95,Cataluña,E-3503,Pagado,2023-04-25,Ibáñez Logística,1900.08,Transporte de mercancía,455,Madrid,E-6303,Pendiente,2023-05-03,García S.L.,3724.32,Revisión anual de equipos,376,Andalucía,G-2988,Anulado
2023-04-02,Ibáñez Logística,3342.60,Transporte de mercancía,479,Aragón,B-6816,Pendiente,2023-04-10,Núñez Ortega y Cía.,103.16,Consultoría técnica,432,Galicia,E-2543,Anulado,2023-04-18,García S.L.,2179.09,Servicio de mantenimiento,404,País Vasco,B-9044,En revisión,2023-04-26,"Fernández, Asociados",3632.31,Servicio de mantenimiento,454,País Vasco,B-8238,Pagado,2023-05-04,Ibáñez Logística,917.95,Servicio de mantenimiento,185,Andalucía,C-5857,Pagado
2023-04-03,"Fernández, Asociados",4311.32,Compra de material informático,436,Madrid,E-0174,Pendiente,2023-04-11,Ibáñez Logística,1157.49,Formación interna,249,Cataluña,H-9709,En revisión,2023-04-19,"Taller ""El Rápido""",4050.21,Compra de material informático,80,Cataluña,B-3227,Pendiente,2023-04-27,Ibáñez Logística,3870.31,Consultoría técnica,335,Galicia,D-2136,Pagado,2023-05-05,Peña & Hijos,1847.26,Servicio de mantenimiento,340,Madrid,G-9204,En revisión
2023-04-04,Acme Distribuciones S.L.,2056.60,Revisión anual de equipos,464,País Vasco,F-7214,En revisión,2023-04-12,Muñoz Hermanos,3498.34,Revisión anual de equipos,213,Aragón,D-3785,En revisión,2023-04-20,Acme Distribuciones S.L.,2811.84,Transporte de mercancía,259,País Vasco,H-6347,Pagado,2023-04-28,Ibáñez Logística,897.88,Servicio de mantenimiento,404,País Vasco,G-2187,Pendiente,2023-05-06,Ibáñez Logística,4541.59,Consultoría técnica,391,Andalucía,A-4160,Pagado
2023-04-05,"Taller ""El Rápido""",1531.50,Revisión anual de equipos,463,País Vasco,E-2090,Pagado,2023-04-13,Ibáñez Logística,2987.76,Formación interna,233,Madrid,H-5453,Pendiente,2023-04-21,Peña & Hijos,3543.95,Formación interna,449,Galicia,A-8759,En revisión,2023-04-29,García S.L.,4715.64,Formación interna,213,Cataluña,E-3370,Pagado,2023-05-07,"Taller ""El Rápido""",4226.87,Transporte de mercancía,361,País Vasco,B-8033,Pagado
