Fecha;Cliente;Importe
2023-11-29;"Taller ""El Rápido""";2189.84
2023-11-30;Muñoz Hermanos;3131.96
2023-12-01;García S.L.;56.72
2023-12-02;Ibáñez Logística;1189.48
2023-12-03;Ibáñez Logística;2185.84
2023-12-04;Fernández, Asociados;1147.48
2023-12-05;Fernández, Asociados;114.56
2023-12-06;Fernández, Asociados;1488.61
2023-12-07;Acme Distribuciones S.L.;3401.01
2023-12-08;Acme Distribuciones S.L.;3509.54
2023-12-09;García S.L.;2583.24
2023-12-10;"Taller ""El Rápido""";1905.26
2023-12-11;"Taller ""El Rápido""";476.07
2023-12-12;Acme Distribuciones S.L.;1974.75
2023-12-13;García S.L.;4046.88
2023-12-14;Ibáñez Logística;620.31
2023-12-15;Acme Distribuciones S.L.;4963.72
2023-12-16;García S.L.;3802.75
2023-12-17;Fernández, Asociados;3284.59
2023-12-18;Muñoz Hermanos;4386.05
2023-12-19;Acme Distribuciones S.L.;2703.76
2023-12-20;Ibáñez Logística;3043.29
2023-12-21;"Taller ""El Rápido""";47.86
2023-12-22;Peña & Hijos;3428.70
2023-12-23;Acme Distribuciones S.L.;229.21
2023-12-24;Muñoz Hermanos;868.91
2023-12-25;Muñoz Hermanos;3262.16
2023-12-26;Peña & Hijos;2635.51
2023-12-27;Peña & Hijos;3307.79
2023-12-28;Ibáñez Logística;337.97
2023-12-29;Peña & Hijos;2624.69
2023-12-30;Fernández, Asociados;4259.88
2023-12-31;Acme Distribuciones S.L.;1391.20
2024-01-01;Fernández, Asociados;2357.72
2024-01-02;Acme Distribuciones S.L.;2079.84
2024-01-03;García S.L.;4203.80
2024-01-04;Peña & Hijos;926.24
2024-01-05;Peña & Hijos;2857.01
2024-01-06;Acme Distribuciones S.L.;1528.92
2024-01-07;Muñoz Hermanos;1278.13
2024-01-08;Peña & Hijos;2449.70
2024-01-09;"Taller ""El Rápido""";2399.83
2024-01-10;"Taller ""El Rápido""";3708.01
2024-01-11;Ibáñez Logística;4931.84
2024-01-12;García S.L.;4465.35
2024-01-13;Núñez Ortega y Cía.;2049.23
2024-01-14;Muñoz Hermanos;949.22
2024-01-15;Fernández, Asociados;3871.25
2024-01-16;Peña & Hijos;3002.34
2024-01-17;"Taller ""El Rápido""";2324.99
2024-01-18;Fernández, Asociados;451.14
2024-01-19;Ibáñez Logística;3587.48
2024-01-20;Ibáñez Logística;4552.88
2024-01-21;Fernández, Asociados;3576.04
2024-01-22;Fernández, Asociados;690.78
2024-01-23;"Taller ""El Rápido""";539.03
2024-01-24;Peña & Hijos;2076.48
2024-01-25;Peña & Hijos;543.25
2024-01-26;Ibáñez Logística;3576.48
2024-01-27;"Taller ""El Rápido""";2575.89
2024-01-28;Núñez Ortega y Cía.;4574.95
2024-01-29;García S.L.;4313.63
2024-01-30;Fernández, Asociados;2458.51
2024-01-31;Peña & Hijos;4533.56
2024-02-01;Acme Distribuciones S.L.;4400.05
2024-02-02;Fernández, Asociados;2623.45
2024-02-03;Acme Distribuciones S.L.;2144.44
2024-02-04;Fernández, Asociados;3744.95
2024-02-05;García S.L.;4429.97
2024-02-06;Peña & Hijos;4958.90
2024-02-07;Ibáñez Logística;2175.29
2024-02-08;Núñez Ortega y Cía.;3866.70
2024-02-09;Núñez Ortega y Cía.;2444.30
2024-02-10;Muñoz Hermanos;2303.56
2024-02-11;Ibáñez Logística;1051.96
2024-02-12;"Taller ""El Rápido""";3285.34
2024-02-13;Núñez Ortega y Cía.;4945.69
2024-02-14;Fernández, Asociados;3846.11
2024-02-15;Acme Distribuciones S.L.;2184.77
2024-02-16;Peña & Hijos;1515.71
2024-02-17;Muñoz Hermanos;2616.52
2024-02-18;Fernández, Asociados;4429.07
2024-02-19;Fernández, Asociados;708.71
2024-02-20;García S.L.;4409.60
2024-02-21;Acme Distribuciones S.L.;2690.20
2024-02-22;Ibáñez Logística;2165.67
2024-02-23;"Taller ""El Rápido""";1877.20
2024-02-24;Fernández, Asociados;3150.60
2024-02-25;Ibáñez Logística;445.00
2024-02-26;Ibáñez Logística;872.51
2024-02-27;Ibáñez Logística;4911.40
2024-02-28;"Taller ""El Rápido""";2017.15
2024-02-29;Núñez Ortega y Cía.;817.66
2024-03-01;Fernández, Asociados;2015.23
2024-03-02;Ibáñez Logística;3778.72
2024-03-03;Acme Distribuciones S.L.;90.29
2024-03-04;Peña & Hijos;3274.82
2024-03-05;Núñez Ortega y Cía.;616.13
2024-03-06;Muñoz Hermanos;1909.02
2024-03-07;Peña & Hijos;4774.22
2024-03-08;Muñoz Hermanos;1733.21
2024-03-09;Muñoz Hermanos;2591.08
2024-03-10;"Taller ""El Rápido""";3755.44
2024-03-11;García S.L.;4906.56
2024-03-12;Acme Distribuciones S.L.;1583.31
2024-03-13;Acme Distribuciones S.L.;2483.73
2024-03-14;Fernández, Asociados;224.20
2024-03-15;Ibáñez Logística;1859.18
2024-03-16;García S.L.;1527.81
2024-03-17;García S.L.;2553.00
2024-03-18;Acme Distribuciones S.L.;3560.51
2024-03-19;Núñez Ortega y Cía.;2110.58
2024-03-20;Núñez Ortega y Cía.;3948.14
2024-03-21;Peña & Hijos;4165.59
2024-03-22;Muñoz Hermanos;3168.74
2024-03-23;Ibáñez Logística;4332.09
2024-03-24;Peña & Hijos;455.29
2024-03-25;Núñez Ortega y Cía.;4954.57
2024-03-26;Núñez Ortega y Cía.;568.00
2024-03-27;Ibáñez Logística;4149.97
2024-03-28;Fernández, Asociados;1982.57
2024-03-29;García S.L.;921.29
2024-03-30;Núñez Ortega y Cía.;671.17
2024-03-31;Muñoz Hermanos;498.68
2024-04-01;Acme Distribuciones S.L.;1129.93
2024-04-02;Fernández, Asociados;3028.36
2024-04-03;Fernández, Asociados;1198.63
2024-04-04;Peña & Hijos;2289.69
2024-04-05;García S.L.;4477.51
2024-04-06;Peña & Hijos;701.22
2024-04-07;Peña & Hijos;2395.05
2024-04-08;Acme Distribuciones S.L.;2805.36
2024-04-09;"Taller ""El Rápido""";2653.81
2024-04-10;Peña & Hijos;4901.50
2024-04-11;García S.L.;1907.32
2024-04-12;Peña & Hijos;3868.39
2024-04-13;Acme Distribuciones S.L.;1729.60
2024-04-14;Fernández, Asociados;467.43
2024-04-15;"Taller ""El Rápido""";4533.71
2024-04-16;Ibáñez Logística;2787.87
2024-04-17;Peña & Hijos;262.61
2024-04-18;Acme Distribuciones S.L.;3356.91
2024-04-19;Muñoz Hermanos;3562.25
2024-04-20;Núñez Ortega y Cía.;491.73
2024-04-21;Peña & Hijos;21.57
