Fecha|Cliente|Importe|Concepto|Cantidad|Región|Código|Estado|Fecha_2|Cliente_2|Importe_2|Concepto_2|Cantidad_2|Región_2|Código_2|Estado_2|Fecha_3|Cliente_3|Importe_3|Concepto_3|Cantidad_3|Región_3|Código_3|Estado_3|Fecha_4|Cliente_4|Importe_4|Concepto_4|Cantidad_4|Región_4|Código_4|Estado_4|Fecha_5|Cliente_5|Importe_5|Concepto_5|Cantidad_5|Región_5|Código_5|Estado_5
2023-11-27|Acme Distribuciones S.L.|2158.91|Revisión anual de equipos|262|Madrid|C-2123|Pagado|2023-12-05|Peña & Hijos|475.01|Transporte de mercancía|4|Madrid|F-1629|En revisión|2023-12-13|Peña & Hijos|1134.70|Revisión anual de equipos|141|Andalucía|C-2463|Pagado|2023-12-21|Peña & Hijos|2225.20|Compra de material informático|216|Cataluña|E-5726|Anulado|2023-12-29|Ibáñez Logística|2683.34|Revisión anual de equipos|79|País Vasco|C-6166|En revisión
2023-11-28|Ibáñez Logística|677.35|Compra de material informático|340|Madrid|F-3070|Pendiente|2023-12-06|Peña & Hijos|1017.24|Revisión anual de equipos|78|Madrid|D-5029|Pagado|2023-12-14|"Taller ""El Rápido"""|2834.05|Formación interna|132|Galicia|A-1448|En revisión|2023-12-22|Núñez Ortega y Cía.|3482.09|Transporte de mercancía|239|Aragón|C-5879|Pendiente|2023-12-30|Peña & Hijos|4633.75|Transporte de mercancía|399|Cataluña|F-3854|Anulado
2023-11-29|Peña & Hijos|4899.33|Revisión anual de equipos|246|Aragón|C-8527|En revisión|2023-12-07|Acme Distribuciones S.L.|1650.29|Transporte de mercancía|248|Galicia|C-8512|Pagado|2023-12-15|Fernández, Asociados|3821.28|Compra de material informático|28|Aragón|F-7731|Anulado|2023-12-23|Muñoz Hermanos|3111.23|Revisión anual de equipos|457|Galicia|E-9310|En revisión|2023-12-31|Ibáñez Logística|3148.47|Compra de material informático|304|Galicia|C-2471|En revisión
2023-11-30|Peña & Hijos|2395.01|Formación interna|310|País Vasco|H-5658|Pendiente|2023-12-08|Acme Distribuciones S.L.|1107.36|Formación interna|274|País Vasco|G-3403|Pendiente|2023-12-16|Peña & Hijos|281.26|Consultoría técnica|320|Aragón|C-8559|Anulado|2023-12-24|Fernández, Asociados|3915.26|Formación interna|127|Cataluña|B-7242|En revisión|2024-01-01|Muñoz Hermanos|4901.20|Transporte de mercancía|22|Madrid|C-0794|Pagado
2023-12-01|Peña & Hijos|43.93|Compra de material informático|251|Cataluña|F-0500|Pendiente|2023-12-09|Peña & Hijos|3672.48|Transporte de mercancía|148|Aragón|D-3383|Pagado|2023-12-17|Peña & Hijos|3985.31|Transporte de mercancía|378|Aragón|E-6869|En revisión|2023-12-25|Muñoz Hermanos|2457.47|Consultoría técnica|222|Aragón|F-3032|Anulado|2024-01-02|Ibáñez Logística|1976.32|Transporte de mercancía|13|Aragón|G-6492|Anulado
2023-12-02|García S.L.|117.03|Transporte de mercancía|386|País Vasco|H-2007|Pagado|2023-12-10|Ibáñez Logística|1741.70|Revisión anual de equipos|173|Cataluña|F-4683|Pendiente|2023-12-18|Peña & Hijos|4757.57|Revisión anual de equipos|458|Aragón|A-1873|Pagado|2023-12-26|Peña & Hijos|2917.96|Revisión anual de equipos|388|Cataluña|A-7854|Pendiente|2024-01-03|Muñoz Hermanos|716.52|Revisión anual de equipos|10|Cataluña|C-1325|Pendiente
2023-12-03|Núñez Ortega y Cía.|4531.53|Transporte de mercancía|139|Cataluña|D-5458|En revisión|2023-12-11|Acme Distribuciones S.L.|3630.81|Compra de material informático|214|País Vasco|H-1148|Anulado|2023-12-19|Peña & Hijos|4504.10|Formación interna|60|País Vasco|H-8959|Anulado|2023-12-27|Ibáñez Logística|2119.05|Compra de material informático|303|Cataluña|D-2102|Pagado|2024-01-04|Ibáñez Logística|4343.91|Consultoría técnica|184|Cataluña|E-6335|Pagado
2023-12-04|Peña & Hijos|978.94|Compra de material informático|148|Madrid|G-3042|Pagado|2023-12-12|Acme Distribuciones S.L.|2971.47|Compra de material informático|17|Madrid|H-2802|Pagado|2023-12-20|Acme Distribuciones S.L.|1516.81|Formación interna|324|Aragón|B-9044|Pagado|2023-12-28|Núñez Ortega y Cía.|1250.86|Revisión anual de equipos|41|Madrid|F-4334|En revisión|2024-01-05|García S.L.|942.67|Consultoría técnica|249|Cataluña|D-8710|Pagado
2023-12-05|Fernández, Asociados|960.13|Revisión anual de equipos|50|Aragón|H-6488|Pendiente|2023-12-13|Muñoz Hermanos|104.80|Compra de material informático|39|Andalucía|H-6949|Pagado|2023-12-21|Muñoz Hermanos|1759.44|Compra de material informático|148|Andalucía|F-7121|En revisión|2023-12-29|Muñoz Hermanos|1194.08|Compra de material informático|110|Madrid|A-7473|Anulado|2024-01-06|García S.L.|3764.59|Consultoría técnica|113|Cataluña|B-7314|En revisión
2023-12-06|Acme Distribuciones S.L.|3582.58|Revisión anual de equipos|457|Madrid|A-5669|Anulado|2023-12-14|Muñoz Hermanos|166.98|Consultoría técnica|470|Andalucía|G-8986|Pagado|2023-12-22|"Taller ""El Rápido"""|818.45|Consultoría técnica|399|Madrid|A-0468|Pendiente|2023-12-30|"Taller ""El Rápido"""|3449.11|Formación interna|418|Madrid|D-8414|Anulado|2024-01-07|Ibáñez Logística|2617.18|Revisión anual de equipos|351|Galicia|B-9728|En revisión
