Fecha|Cliente|Importe
2023-11-15|Fernández, Asociados|3497.67
2023-11-16|Ibáñez Logística|4487.28
2023-11-17|Acme Distribuciones S.L.|3625.29
2023-11-18|Peña & Hijos|2352.43
2023-11-19|Fernández, Asociados|3611.64
2023-11-20|Muñoz Hermanos|2773.12
2023-11-21|Núñez Ortega y Cía.|2762.38
2023-11-22|Peña & Hijos|336.27
2023-11-23|Fernández, Asociados|169.19
2023-11-24|Ibáñez Logística|828.11
2023-11-25|Fernández, Asociados|3335.22
2023-11-26|Acme Distribuciones S.L.|607.67
2023-11-27|Núñez Ortega y Cía.|4435.33
2023-11-28|Fernández, Asociados|4515.73
2023-11-29|Acme Distribuciones S.L.|1197.86
2023-11-30|Núñez Ortega y Cía.|1787.10
2023-12-01|Muñoz Hermanos|990.20
2023-12-02|Peña & Hijos|4106.95
2023-12-03|Núñez Ortega y Cía.|2256.83
2023-12-04|Núñez Ortega y Cía.|4806.80
2023-12-05|Peña & Hijos|3777.37
2023-12-06|Muñoz Hermanos|3151.50
2023-12-07|Ibáñez Logística|2571.16
2023-12-08|García S.L.|1074.52
2023-12-09|Ibáñez Logística|2382.36
2023-12-10|"Taller ""El Rápido"""|3501.08
2023-12-11|Ibáñez Logística|2322.61
2023-12-12|García S.L.|1765.93
2023-12-13|Ibáñez Logística|1404.80
2023-12-14|Acme Distribuciones S.L.|3762.94
2023-12-15|Núñez Ortega y Cía.|4542.16
2023-12-16|"Taller ""El Rápido"""|4023.14
2023-12-17|García S.L.|4734.49
2023-12-18|Peña & Hijos|1356.68
2023-12-19|Núñez Ortega y Cía.|509.58
2023-12-20|Núñez Ortega y Cía.|1507.87
2023-12-21|Peña & Hijos|2830.27
2023-12-22|Peña & Hijos|1001.41
2023-12-23|Peña & Hijos|3267.99
2023-12-24|Peña & Hijos|2144.41
2023-12-25|"Taller ""El Rápido"""|1205.19
2023-12-26|Núñez Ortega y Cía.|976.85
2023-12-27|Muñoz Hermanos|946.65
2023-12-28|"Taller ""El Rápido"""|4290.38
2023-12-29|Núñez Ortega y Cía.|2845.13
2023-12-30|"Taller ""El Rápido"""|4392.62
2023-12-31|Núñez Ortega y Cía.|2512.27
2024-01-01|Peña & Hijos|4253.06
2024-01-02|Núñez Ortega y Cía.|1290.11
2024-01-03|Acme Distribuciones S.L.|474.71
2024-01-04|"Taller ""El Rápido"""|743.54
2024-01-05|García S.L.|1086.89
2024-01-06|"Taller ""El Rápido"""|4355.93
2024-01-07|Peña & Hijos|4053.35
2024-01-08|Acme Distribuciones S.L.|3167.60
2024-01-09|Muñoz Hermanos|914.09
2024-01-10|Núñez Ortega y Cía.|2989.60
2024-01-11|Muñoz Hermanos|3719.87
2024-01-12|Fernández, Asociados|2420.87
2024-01-13|Núñez Ortega y Cía.|2380.03
2024-01-14|"Taller ""El Rápido"""|3754.03
2024-01-15|Núñez Ortega y Cía.|2426.20
2024-01-16|Peña & Hijos|4015.49
2024-01-17|Acme Distribuciones S.L.|2672.57
2024-01-18|Peña & Hijos|4264.43
2024-01-19|Peña & Hijos|197.72
2024-01-20|Peña & Hijos|1078.11
2024-01-21|"Taller ""El Rápido"""|2467.94
2024-01-22|"Taller ""El Rápido"""|4526.14
2024-01-23|García S.L.|4159.63
2024-01-24|García S.L.|4478.61
2024-01-25|Ibáñez Logística|3123.62
2024-01-26|Acme Distribuciones S.L.|2579.74
2024-01-27|García S.L.|382.22
2024-01-28|Ibáñez Logística|390.72
2024-01-29|"Taller ""El Rápido"""|2277.29
2024-01-30|Muñoz Hermanos|3301.27
2024-01-31|Peña & Hijos|3593.88
2024-02-01|Núñez Ortega y Cía.|242.60
2024-02-02|Núñez Ortega y Cía.|3599.93
2024-02-03|Peña & Hijos|3409.06
2024-02-04|Acme Distribuciones S.L.|2882.25
2024-02-05|"Taller ""El Rápido"""|1366.22
2024-02-06|Muñoz Hermanos|3362.85
2024-02-07|Muñoz Hermanos|1144.30
2024-02-08|"Taller ""El Rápido"""|2878.25
2024-02-09|"Taller ""El Rápido"""|3390.54
2024-02-10|Acme Distribuciones S.L.|4513.04
2024-02-11|"Taller ""El Rápido"""|4352.10
2024-02-12|García S.L.|2530.53
2024-02-13|Acme Distribuciones S.L.|3762.38
2024-02-14|Peña & Hijos|1444.85
2024-02-15|Muñoz Hermanos|2065.75
2024-02-16|Muñoz Hermanos|4191.42
2024-02-17|Muñoz Hermanos|2575.75
2024-02-18|Ibáñez Logística|1322.71
2024-02-19|Peña & Hijos|2821.07
2024-02-20|Ibáñez Logística|56.62
2024-02-21|Peña & Hijos|1981.97
2024-02-22|"Taller ""El Rápido"""|544.24
2024-02-23|Peña & Hijos|802.16
2024-02-24|"Taller ""El Rápido"""|3258.85
2024-02-25|Ibáñez Logística|1326.42
2024-02-26|García S.L.|1312.66
2024-02-27|Muñoz Hermanos|3454.02
2024-02-28|Peña & Hijos|2178.72
2024-02-29|García S.L.|1654.58
2024-03-01|"Taller ""El Rápido"""|4708.32
2024-03-02|Fernández, Asociados|3495.38
2024-03-03|Ibáñez Logística|3023.92
2024-03-04|Acme Distribuciones S.L.|3361.61
2024-03-05|Peña & Hijos|1457.55
2024-03-06|García S.L.|2159.92
2024-03-07|"Taller ""El Rápido"""|3910.27
2024-03-08|Peña & Hijos|2470.01
2024-03-09|Peña & Hijos|3666.08
2024-03-10|Peña & Hijos|2574.04
2024-03-11|Acme Distribuciones S.L.|125.12
2024-03-12|García S.L.|460.80
2024-03-13|Fernández, Asociados|1929.70
2024-03-14|Núñez Ortega y Cía.|2299.61
2024-03-15|"Taller ""El Rápido"""|3528.45
2024-03-16|Acme Distribuciones S.L.|2383.78
2024-03-17|Fernández, Asociados|4330.46
2024-03-18|Fernández, Asociados|1883.73
2024-03-19|Fernández, Asociados|178.24
2024-03-20|García S.L.|3692.98
2024-03-21|Núñez Ortega y Cía.|2704.64
2024-03-22|Muñoz Hermanos|2425.59
2024-03-23|Muñoz Hermanos|2268.03
2024-03-24|Acme Distribuciones S.L.|4662.90
2024-03-25|García S.L.|2993.81
2024-03-26|Núñez Ortega y Cía.|1146.35
2024-03-27|"Taller ""El Rápido"""|1308.38
2024-03-28|Muñoz Hermanos|4699.74
2024-03-29|García S.L.|3126.20
2024-03-30|Núñez Ortega y Cía.|918.94
2024-03-31|Acme Distribuciones S.L.|4665.18
2024-04-01|Núñez Ortega y Cía.|4855.76
2024-04-02|Ibáñez Logística|1888.10
2024-04-03|García S.L.|822.65
2024-04-04|Muñoz Hermanos|1262.95
2024-04-05|Núñez Ortega y Cía.|2345.23
2024-04-06|"Taller ""El Rápido"""|852.27
2024-04-07|Peña & Hijos|502.63
2024-04-08|Fernández, Asociados|4757.95
2024-04-09|Fernández, Asociados|571.02
2024-04-10|Ibáñez Logística|1135.77
2024-04-11|Ibáñez Logística|3186.23
2024-04-12|Ibáñez Logística|1296.09
2024-04-13|Acme Distribuciones S.L.|1838.73
2024-04-14|García S.L.|3837.23
2024-04-15|García S.L.|1353.13
2024-04-16|Peña & Hijos|3431.26
2024-04-17|Acme Distribuciones S.L.|4135.51
2024-04-18|"Taller ""El Rápido"""|2962.41
2024-04-19|Muñoz Hermanos|1569.60
2024-04-20|Ibáñez Logística|4727.73
2024-04-21|Muñoz Hermanos|3587.47
2024-04-22|García S.L.|4222.29
2024-04-23|Núñez Ortega y Cía.|430.88
2024-04-24|García S.L.|4987.82
2024-04-25|Peña & Hijos|4891.54
2024-04-26|Muñoz Hermanos|4079.79
2024-04-27|García S.L.|4105.33
2024-04-28|García S.L.|3932.28
2024-04-29|Ibáñez Logística|4488.14
2024-04-30|Acme Distribuciones S.L.|1185.81
2024-05-01|Fernández, Asociados|1588.93
2024-05-02|Muñoz Hermanos|4041.18
2024-05-03|Fernández, Asociados|4594.68
2024-05-04|Fernández, Asociados|741.52
2024-05-05|Ibáñez Logística|3378.03
2024-05-06|Acme Distribuciones S.L.|2487.82
2024-05-07|Ibáñez Logística|144.09
2024-05-08|Acme Distribuciones S.L.|3235.14
2024-05-09|Muñoz Hermanos|2893.07
2024-05-10|Peña & Hijos|86.52
2024-05-11|García S.L.|4781.28
2024-05-12|García S.L.|4384.79
2024-05-13|García S.L.|4045.93
2024-05-14|"Taller ""El Rápido"""|1651.72
2024-05-15|Núñez Ortega y Cía.|72.08
2024-05-16|Peña & Hijos|2785.31
2024-05-17|Núñez Ortega y Cía.|4479.04
2024-05-18|Fernández, Asociados|985.34
2024-05-19|Núñez Ortega y Cía.|1458.82
2024-05-20|Acme Distribuciones S.L.|516.45
2024-05-21|"Taller ""El Rápido"""|4712.56
2024-05-22|Fernández, Asociados|958.10
2024-05-23|García S.L.|3906.65
2024-05-24|Núñez Ortega y Cía.|3637.66
2024-05-25|Muñoz Hermanos|43.79
2024-05-26|Núñez Ortega y Cía.|2593.85
2024-05-27|Muñoz Hermanos|2229.72
2024-05-28|Ibáñez Logística|4882.23
2024-05-29|Ibáñez Logística|843.22
2024-05-30|Muñoz Hermanos|3240.10
2024-05-31|Ibáñez Logística|655.82
2024-06-01|Acme Distribuciones S.L.|1578.17
2024-06-02|Peña & Hijos|4007.51
2024-06-03|Fernández, Asociados|2982.13
2024-06-04|"Taller ""El Rápido"""|4638.79
2024-06-05|García S.L.|218.20
2024-06-06|Acme Distribuciones S.L.|394.62
2024-06-07|García S.L.|3003.76
2024-06-08|Peña & Hijos|3502.41
2024-06-09|Muñoz Hermanos|1344.44
2024-06-10|Ibáñez Logística|4334.92
2024-06-11|Fernández, Asociados|2038.08
2024-06-12|Núñez Ortega y Cía.|3897.45
2024-06-13|Muñoz Hermanos|4636.60
2024-06-14|Acme Distribuciones S.L.|2161.23
2024-06-15|"Taller ""El Rápido"""|2617.35
2024-06-16|Peña & Hijos|866.06
2024-06-17|"Taller ""El Rápido"""|4717.99
2024-06-18|"Taller ""El Rápido"""|3364.67
2024-06-19|Muñoz Hermanos|4549.82
2024-06-20|Ibáñez Logística|1842.44
2024-06-21|Núñez Ortega y Cía.|2331.53
2024-06-22|García S.L.|4492.76
2024-06-23|Muñoz Hermanos|3083.17
2024-06-24|Peña & Hijos|106.72
2024-06-25|Núñez Ortega y Cía.|2106.50
2024-06-26|Fernández, Asociados|390.13
2024-06-27|García S.L.|1141.01
2024-06-28|García S.L.|4525.90
2024-06-29|Núñez Ortega y Cía.|2887.49
2024-06-30|Núñez Ortega y Cía.|3107.22
2024-07-01|Fernández, Asociados|4768.64
2024-07-02|"Taller ""El Rápido"""|1011.18
2024-07-03|Ibáñez Logística|2329.31
2024-07-04|Fernández, Asociados|4586.85
2024-07-05|Núñez Ortega y Cía.|2261.19
2024-07-06|García S.L.|2450.65
2024-07-07|Núñez Ortega y Cía.|2664.17
2024-07-08|Ibáñez Logística|753.27
2024-07-09|Fernández, Asociados|2676.33
2024-07-10|Muñoz Hermanos|2277.12
2024-07-11|Acme Distribuciones S.L.|3595.65
2024-07-12|Peña & Hijos|4141.52
2024-07-13|Núñez Ortega y Cía.|2454.77
2024-07-14|Núñez Ortega y Cía.|4821.25
2024-07-15|Fernández, Asociados|853.26
2024-07-16|García S.L.|261.89
2024-07-17|Acme Distribuciones S.L.|285.07
2024-07-18|Acme Distribuciones S.L.|1761.94
2024-07-19|Acme Distribuciones S.L.|451.95
2024-07-20|Peña & Hijos|4353.02
2024-07-21|Peña & Hijos|1994.16
2024-07-22|García S.L.|2114.58
2024-07-23|García S.L.|1473.99
2024-07-24|Núñez Ortega y Cía.|911.37
2024-07-25|Acme Distribuciones S.L.|1959.46
2024-07-26|"Taller ""El Rápido"""|2964.73
2024-07-27|García S.L.|3343.71
2024-07-28|García S.L.|2433.05
2024-07-29|Ibáñez Logística|2749.09
2024-07-30|Fernández, Asociados|4152.37
2024-07-31|Acme Distribuciones S.L.|2813.33
2024-08-01|García S.L.|4401.64
2024-08-02|Ibáñez Logística|3896.09
2024-08-03|Ibáñez Logística|4550.02
2024-08-04|Muñoz Hermanos|3184.36
2024-08-05|García S.L.|837.32
2024-08-06|Muñoz Hermanos|3159.04
2024-08-07|Muñoz Hermanos|1363.43
2024-08-08|Núñez Ortega y Cía.|1581.08
2024-08-09|Fernández, Asociados|188.38
2024-08-10|Acme Distribuciones S.L.|1345.70
2024-08-11|Acme Distribuciones S.L.|3378.84
2024-08-12|García S.L.|1889.75
2024-08-13|García S.L.|551.18
2024-08-14|"Taller ""El Rápido"""|3688.81
2024-08-15|"Taller ""El Rápido"""|1389.14
2024-08-16|Acme Distribuciones S.L.|2941.42
2024-08-17|García S.L.|1922.83
2024-08-18|Núñez Ortega y Cía.|4278.89
2024-08-19|Peña & Hijos|4971.47
2024-08-20|Núñez Ortega y Cía.|3947.51
2024-08-21|Muñoz Hermanos|3046.27
2024-08-22|Ibáñez Logística|1598.71
2024-08-23|Peña & Hijos|1256.35
2024-08-24|Peña & Hijos|3019.94
2024-08-25|Ibáñez Logística|136.02
2024-08-26|Peña & Hijos|4171.05
2024-08-27|Ibáñez Logística|4772.66
2024-08-28|"Taller ""El Rápido"""|2176.36
2024-08-29|Ibáñez Logística|1997.00
2024-08-30|Muñoz Hermanos|166.08
2024-08-31|Muñoz Hermanos|2779.38
2024-09-01|Muñoz Hermanos|3927.26
2024-09-02|Peña & Hijos|2988.49
2024-09-03|Ibáñez Logística|2966.60
2024-09-04|Muñoz Hermanos|1169.46
2024-09-05|Acme Distribuciones S.L.|3422.55
2024-09-06|Muñoz Hermanos|4937.90
2024-09-07|"Taller ""El Rápido"""|4661.91
2024-09-08|Núñez Ortega y Cía.|635.32
2024-09-09|Acme Distribuciones S.L.|58.60
TOTAL||773001.05
