Fecha;Cliente;Importe;Concepto;Cantidad;Región;Código;Estado;Fecha_2;Cliente_2;Importe_2;Concepto_2;Cantidad_2;Región_2;Código_2;Estado_2;Fecha_3;Cliente_3;Importe_3;Concepto_3;Cantidad_3;Región_3;Código_3;Estado_3;Fecha_4;Cliente_4;Importe_4;Concepto_4;Cantidad_4;Región_4;Código_4;Estado_4;Fecha_5;Cliente_5;Importe_5;Concepto_5;Cantidad_5;Región_5;Código_5;Estado_5
2023-03-22;Fernández, Asociados;2687.71;Consultoría técnica;119;Aragón;C-0160;Pendiente;2023-03-30;Ibáñez Logística;2369.97;Formación interna;370;Cataluña;H-0018;Anulado;2023-04-07;Ibáñez Logística;4338.37;Formación interna;443;País Vasco;F-9730;En revisión;2023-04-15;Muñoz Hermanos;3886.30;Consultoría técnica;293;Cataluña;E-1200;Pendiente;2023-04-23;Muñoz Hermanos;4432.91;Revisión anual de equipos;60;Aragón;D-4576;En revisión
2023-03-23;"Taller ""El Rápido""";2248.61;Compra de material informático;282;País Vasco;A-9333;Pendiente;2023-03-31;Núñez Ortega y Cía.;1604.51;Revisión anual de equipos;273;Galicia;C-4608;Pendiente;2023-04-08;"Taller ""El Rápido""";2161.14;Servicio de mantenimiento;70;Madrid;D-8753;Pendiente;2023-04-16;Núñez Ortega y Cía.;1848.68;Consultoría técnica;206;Galicia;D-1264;Pagado;2023-04-24;Acme Distribuciones S.L.;2959.75;Compra de material informático;166;Aragón;E-6472;Pendiente
2023-03-24;García S.L.;1514.01;Formación interna;181;Aragón;A-5810;Pendiente;2023-04-01;Acme Distribuciones S.L.;1118.94;Compra de material informático;137;Cataluña;A-9215;Pendiente;2023-04-09;Peña & Hijos;969.60;Consultoría técnica;493;Galicia;A-2391;En revisión;2023-04-17;Peña & Hijos;1900.86;Transporte de mercancía;390;Cataluña;E-8233;Pendiente;2023-04-25;Muñoz Hermanos;3222.61;Formación interna;87;Andalucía;C-2137;Anulado
2023-03-25;Fernández, Asociados;665.75;Consultoría técnica;141;Aragón;B-2636;Anulado;2023-04-02;Acme Distribuciones S.L.;3304.90;Revisión anual de equipos;325;Andalucía;B-6706;Pendiente;2023-04-10;Fernández, Asociados;2405.28;Formación interna;73;Aragón;D-4331;Anulado;2023-04-18;Acme Distribuciones S.L.;2636.74;Compra de material informático;286;Aragón;F-4390;Pagado;2023-04-26;Ibáñez Logística;2696.31;Transporte de mercancía;472;Andalucía;H-8257;Anulado
2023-03-26;Muñoz Hermanos;3596.51;Consultoría técnica;341;Galicia;E-8528;Pendiente;2023-04-03;Fernández, Asociados;4433.65;Transporte de mercancía;97;Madrid;F-7162;Pendiente;2023-04-11;García S.L.;1777.18;Consultoría técnica;452;Andalucía;G-8719;En revisión;2023-04-19;García S.L.;4217.48;Compra de material informático;130;País Vasco;B-3033;En revisión;2023-04-27;Muñoz Hermanos;3532.07;Consultoría técnica;62;País Vasco;A-8101;En revisión
2023-03-27;García S.L.;3710.89;Consultoría técnica;72;Cataluña;F-8395;Anulado;2023-04-04;Acme Distribuciones S.L.;843.34;Transporte de mercancía;161;Aragón;A-7283;En revisión;2023-04-12;Muñoz Hermanos;3469.73;Consultoría técnica;306;País Vasco;F-5211;Pendiente;2023-04-20;"Taller ""El Rápido""";379.29;Revisión anual de equipos;270;Andalucía;G-4847;En revisión;2023-04-28;Acme Distribuciones S.L.;3044.12;Formación interna;487;Galicia;F-9535;Pagado
2023-03-28;García S.L.;4791.19;Transporte de mercancía;428;Galicia;B-9567;Pagado;2023-04-05;García S.L.;3081.40;Servicio de mantenimiento;292;Madrid;D-1420;Pendiente;2023-04-13;"Taller ""El Rápido""";4110.74;Transporte de mercancía;174;Andalucía;D-0389;Pendiente;2023-04-21;Peña & Hijos;547.83;Transporte de mercancía;58;Aragón;E-3223;Pendiente;2023-04-29;García S.L.;4137.59;Consultoría técnica;281;Galicia;E-9107;En revisión
2023-03-29;García S.L.;367.00;Revisión anual de equipos;235;Aragón;B-6280;En revisión;2023-04-06;Muñoz Hermanos;3800.96;Consultoría técnica;186;País Vasco;E-7461;En revisión;2023-04-14;García S.L.;503.50;Compra de material informático;313;Aragón;D-3904;Pagado;2023-04-22;"Taller ""El Rápido""";371.42;Revisión anual de equipos;199;Andalucía;E-8384;Pendiente;2023-04-30;"Taller ""El Rápido""";567.95;Formación interna;35;Galicia;D-3853;Anulado
2023-03-30;Acme Distribuciones S.L.;320.82;Compra de material informático;77;Aragón;A-3795;Pagado;2023-04-07;Ibáñez Logística;3497.62;Formación interna;448;Aragón;B-3016;Pagado;2023-04-15;Peña & Hijos;2418.94;Consultoría técnica;63;Andalucía;H-3968;Pagado;2023-04-23;Muñoz Hermanos;759.72;Transporte de mercancía;175;Madrid;B-4162;Pendiente;2023-05-01;Peña & Hijos;616.73;Formación interna;317;Cataluña;H-2035;En revisión
2023-03-31;Muñoz Hermanos;2243.23;Revisión anual de equipos;149;Madrid;G-2736;En revisión;2023-04-08;Fernández, Asociados;4970.13;Compra de material informático;169;Madrid;C-2302;Pendiente;2023-04-16;Ibáñez Logística;2536.70;Transporte de mercancía;272;Cataluña;H-8056;En revisión;2023-04-24;"Taller ""El Rápido""";3527.22;Revisión anual de equipos;145;Aragón;E-4923;Anulado;2023-05-02;Peña & Hijos;2818.10;Revisión anual de equipos;337;Galicia;B-4233;Anulado
