2023-08-12,Muñoz Hermanos,3521.88
2023-08-13,Ibáñez Logística,4484.20
2023-08-14,"Taller ""El Rápido""",2844.42
2023-08-15,Peña & Hijos,1006.44
2023-08-16,García S.L.,4640.90
2023-08-17,Muñoz Hermanos,2922.78
2023-08-18,"Taller ""El Rápido""",792.88
2023-08-19,Ibáñez Logística,1383.21
2023-08-20,Acme Distribuciones S.L.,106.69
2023-08-21,"Fernández, Asociados",776.72
2023-08-22,"Fernández, Asociados",977.39
2023-08-23,Ibáñez Logística,459.75
2023-08-24,"Taller ""El Rápido""",1453.56
2023-08-25,Muñoz Hermanos,2076.39
2023-08-26,Peña & Hijos,2380.15
2023-08-27,Acme Distribuciones S.L.,3672.15
2023-08-28,Acme Distribuciones S.L.,2482.82
2023-08-29,Ibáñez Logística,68.89
2023-08-30,Peña & Hijos,1156.80
2023-08-31,Muñoz Hermanos,362.15
2023-09-01,García S.L.,1434.35
2023-09-02,Acme Distribuciones S.L.,3982.25
2023-09-03,Muñoz Hermanos,1534.22
2023-09-04,"Taller ""El Rápido""",4093.69
2023-09-05,García S.L.,1855.83
2023-09-06,Núñez Ortega y Cía.,3752.66
2023-09-07,Núñez Ortega y Cía.,2289.72
2023-09-08,Núñez Ortega y Cía.,1914.55
2023-09-09,"Taller ""El Rápido""",3728.87
2023-09-10,Muñoz Hermanos,2671.07
2023-09-11,Peña & Hijos,2839.69
2023-09-12,Muñoz Hermanos,1900.26
2023-09-13,Peña & Hijos,3947.96
2023-09-14,Muñoz Hermanos,4596.50
2023-09-15,Muñoz Hermanos,3307.82
2023-09-16,Núñez Ortega y Cía.,861.10
2023-09-17,Acme Distribuciones S.L.,1075.52
2023-09-18,"Taller ""El Rápido""",3854.30
2023-09-19,Peña & Hijos,906.65
2023-09-20,Acme Distribuciones S.L.,2551.48
