# Exportado desde SistemaXYZ v3.2
# Empresa: Distribuciones Ejemplo S.A.
Fecha;Cliente;Importe;Concepto;Cantidad
2023-12-02;"Taller ""El Rápido""";3163.32;Revisión anual de equipos;203
2023-12-03;García S.L.;999.71;Formación interna;171
2023-12-04;Muñoz Hermanos;3281.80;Compra de material informático;151
2023-12-05;Núñez Ortega y Cía.;4665.19;Revisión anual de equipos;73
2023-12-06;Núñez Ortega y Cía.;3223.50;Formación interna;445
2023-12-07;Núñez Ortega y Cía.;1757.76;Servicio de mantenimiento;121
2023-12-08;García S.L.;3231.97;Servicio de mantenimiento;418
2023-12-09;Fernández, Asociados;2298.86;Compra de material informático;57
2023-12-10;Peña & Hijos;2813.68;Compra de material informático;105
2023-12-11;Muñoz Hermanos;4592.18;Servicio de mantenimiento;68
2023-12-12;Ibáñez Logística;572.54;Consultoría técnica;304
2023-12-13;"Taller ""El Rápido""";3980.72;Revisión anual de equipos;154
2023-12-14;"Taller ""El Rápido""";1929.24;Consultoría técnica;17
2023-12-15;Muñoz Hermanos;2504.29;Compra de material informático;415
2023-12-16;Fernández, Asociados;1513.46;Transporte de mercancía;48
2023-12-17;Fernández, Asociados;1684.54;Consultoría técnica;252
2023-12-18;"Taller ""El Rápido""";2774.01;Formación interna;42
2023-12-19;Acme Distribuciones S.L.;1838.90;Compra de material informático;56
2023-12-20;"Taller ""El Rápido""";4601.95;Formación interna;328
2023-12-21;Ibáñez Logística;1531.95;Consultoría técnica;209
2023-12-22;Ibáñez Logística;360.33;Compra de material informático;251
2023-12-23;Acme Distribuciones S.L.;4460.14;Revisión anual de equipos;373
2023-12-24;Fernández, Asociados;1458.50;Revisión anual de equipos;126
2023-12-25;Acme Distribuciones S.L.;1893.37;Consultoría técnica;256
2023-12-26;Muñoz Hermanos;3472.66;Servicio de mantenimiento;400
2023-12-27;Núñez Ortega y Cía.;3220.87;Consultoría técnica;388
2023-12-28;Ibáñez Logística;276.78;Compra de material informático;375
2023-12-29;Núñez Ortega y Cía.;3556.20;Transporte de mercancía;284
2023-12-30;Muñoz Hermanos;4347.22;Compra de material informático;213
2023-12-31;Núñez Ortega y Cía.;1339.91;Consultoría técnica;374
2024-01-01;Acme Distribuciones S.L.;2181.80;Revisión anual de equipos;380
2024-01-02;Peña & Hijos;4054.24;Formación interna;472
2024-01-03;Fernández, Asociados;462.28;Revisión anual de equipos;455
2024-01-04;"Taller ""El Rápido""";4461.42;Compra de material informático;124
2024-01-05;Núñez Ortega y Cía.;1263.26;Consultoría técnica;478
2024-01-06;García S.L.;1603.76;Revisión anual de equipos;278
2024-01-07;García S.L.;687.50;Consultoría técnica;333
2024-01-08;Ibáñez Logística;2172.19;Formación interna;407
2024-01-09;Núñez Ortega y Cía.;3506.47;Formación interna;356
2024-01-10;Ibáñez Logística;1029.60;Transporte de mercancía;129
2024-01-11;"Taller ""El Rápido""";3918.73;Consultoría técnica;188
2024-01-12;Ibáñez Logística;4292.23;Compra de material informático;20
2024-01-13;Núñez Ortega y Cía.;2929.10;Transporte de mercancía;68
2024-01-14;García S.L.;615.47;Compra de material informático;473
2024-01-15;Acme Distribuciones S.L.;4962.18;Formación interna;329
2024-01-16;Fernández, Asociados;1499.79;Transporte de mercancía;96
2024-01-17;García S.L.;3177.77;Consultoría técnica;349
2024-01-18;Acme Distribuciones S.L.;277.71;Revisión anual de equipos;110
2024-01-19;Núñez Ortega y Cía.;3522.21;Formación interna;368
2024-01-20;García S.L.;1978.62;Formación interna;444
2024-01-21;"Taller ""El Rápido""";3514.71;Consultoría técnica;500
2024-01-22;Fernández, Asociados;2481.68;Formación interna;336
2024-01-23;Núñez Ortega y Cía.;3244.29;Consultoría técnica;22
2024-01-24;Muñoz Hermanos;1470.53;Consultoría técnica;449
2024-01-25;Fernández, Asociados;539.56;Revisión anual de equipos;421
2024-01-26;"Taller ""El Rápido""";4265.27;Consultoría técnica;193
2024-01-27;Ibáñez Logística;3977.05;Servicio de mantenimiento;241
2024-01-28;García S.L.;2442.43;Transporte de mercancía;277
2024-01-29;Núñez Ortega y Cía.;2083.08;Transporte de mercancía;266
2024-01-30;Muñoz Hermanos;3303.87;Revisión anual de equipos;215
2024-01-31;Fernández, Asociados;870.62;Consultoría técnica;160
2024-02-01;Núñez Ortega y Cía.;4457.67;Formación interna;33
2024-02-02;Fernández, Asociados;4162.83;Consultoría técnica;443
2024-02-03;"Taller ""El Rápido""";3316.44;Servicio de mantenimiento;358
2024-02-04;Núñez Ortega y Cía.;705.73;Compra de material informático;409
2024-02-05;Muñoz Hermanos;1691.66;Transporte de mercancía;81
2024-02-06;Núñez Ortega y Cía.;218.27;Consultoría técnica;477
2024-02-07;García S.L.;3013.70;Transporte de mercancía;366
2024-02-08;"Taller ""El Rápido""";1735.83;Consultoría técnica;166
2024-02-09;Peña & Hijos;1426.80;Revisión anual de equipos;52
2024-02-10;Acme Distribuciones S.L.;2030.13;Compra de material informático;40
2024-02-11;García S.L.;1316.71;Formación interna;327
2024-02-12;García S.L.;1162.79;Transporte de mercancía;172
2024-02-13;Ibáñez Logística;3301.65;Revisión anual de equipos;72
2024-02-14;Núñez Ortega y Cía.;2806.79;Revisión anual de equipos;403
2024-02-15;Ibáñez Logística;735.39;Formación interna;261
2024-02-16;García S.L.;1691.92;Servicio de mantenimiento;119
2024-02-17;Fernández, Asociados;577.83;Formación interna;394
2024-02-18;Peña & Hijos;1252.76;Revisión anual de equipos;200
2024-02-19;Ibáñez Logística;1946.63;Compra de material informático;315
2024-02-20;Muñoz Hermanos;2933.44;Consultoría técnica;369
2024-02-21;Muñoz Hermanos;1401.44;Servicio de mantenimiento;322
2024-02-22;"Taller ""El Rápido""";3101.07;Formación interna;434
2024-02-23;Ibáñez Logística;2020.31;Transporte de mercancía;34
2024-02-24;García S.L.;2903.15;Compra de material informático;77
2024-02-25;García S.L.;4228.92;Transporte de mercancía;240
2024-02-26;García S.L.;3436.23;Consultoría técnica;196
2024-02-27;Peña & Hijos;3939.13;Compra de material informático;28
2024-02-28;Fernández, Asociados;895.40;Compra de material informático;179
2024-02-29;Núñez Ortega y Cía.;1637.58;Consultoría técnica;439
2024-03-01;Núñez Ortega y Cía.;1200.14;Servicio de mantenimiento;157
2024-03-02;"Taller ""El Rápido""";865.57;Transporte de mercancía;262
2024-03-03;Muñoz Hermanos;4315.01;Servicio de mantenimiento;367
2024-03-04;Peña & Hijos;3328.92;Servicio de mantenimiento;244
2024-03-05;Peña & Hijos;4403.89;Transporte de mercancía;116
2024-03-06;Fernández, Asociados;3335.52;Revisión anual de equipos;308
2024-03-07;Núñez Ortega y Cía.;3360.53;Formación interna;44
2024-03-08;Fernández, Asociados;1182.85;Compra de material informático;271
2024-03-09;Núñez Ortega y Cía.;1746.93;Compra de material informático;476
2024-03-10;Acme Distribuciones S.L.;4035.88;Servicio de mantenimiento;163
2024-03-11;Núñez Ortega y Cía.;283.43;Consultoría técnica;143
2024-03-12;Muñoz Hermanos;4953.38;Servicio de mantenimiento;293
2024-03-13;Peña & Hijos;1759.81;Formación interna;229
2024-03-14;Acme Distribuciones S.L.;173.78;Revisión anual de equipos;326
2024-03-15;Núñez Ortega y Cía.;471.02;Compra de material informático;133
2024-03-16;Ibáñez Logística;555.91;Revisión anual de equipos;93
2024-03-17;Peña & Hijos;1352.68;Revisión anual de equipos;408
2024-03-18;Ibáñez Logística;968.05;Transporte de mercancía;428
2024-03-19;Ibáñez Logística;2488.11;Transporte de mercancía;47
2024-03-20;"Taller ""El Rápido""";3967.77;Servicio de mantenimiento;243
2024-03-21;Ibáñez Logística;4234.45;Formación interna;287
2024-03-22;Ibáñez Logística;4611.86;Formación interna;289
2024-03-23;Muñoz Hermanos;269.44;Compra de material informático;429
2024-03-24;Fernández, Asociados;4867.94;Consultoría técnica;19
2024-03-25;Muñoz Hermanos;1453.39;Compra de material informático;369
2024-03-26;Núñez Ortega y Cía.;1260.33;Revisión anual de equipos;194
2024-03-27;Fernández, Asociados;149.76;Servicio de mantenimiento;191
2024-03-28;Peña & Hijos;3785.41;Transporte de mercancía;275
2024-03-29;Fernández, Asociados;1424.77;Compra de material informático;338
2024-03-30;Núñez Ortega y Cía.;4037.97;Transporte de mercancía;94
2024-03-31;"Taller ""El Rápido""";343.25;Revisión anual de equipos;63
2024-04-01;"Taller ""El Rápido""";277.30;Transporte de mercancía;217
2024-04-02;Fernández, Asociados;792.45;Servicio de mantenimiento;495
2024-04-03;Acme Distribuciones S.L.;1515.96;Formación interna;73
2024-04-04;Muñoz Hermanos;2325.00;Revisión anual de equipos;173
2024-04-05;Fernández, Asociados;1541.16;Transporte de mercancía;12
2024-04-06;"Taller ""El Rápido""";1103.85;Revisión anual de equipos;384
2024-04-07;Núñez Ortega y Cía.;4014.08;Compra de material informático;109
2024-04-08;Muñoz Hermanos;3246.46;Transporte de mercancía;208
2024-04-09;Núñez Ortega y Cía.;912.53;Transporte de mercancía;234
2024-04-10;"Taller ""El Rápido""";872.14;Consultoría técnica;329
2024-04-11;Fernández, Asociados;1175.33;Compra de material informático;246
2024-04-12;Núñez Ortega y Cía.;2129.45;Servicio de mantenimiento;331
2024-04-13;Acme Distribuciones S.L.;49.96;Formación interna;33
2024-04-14;García S.L.;3686.21;Formación interna;30
2024-04-15;Acme Distribuciones S.L.;4387.75;Servicio de mantenimiento;181
2024-04-16;Muñoz Hermanos;4791.27;Compra de material informático;310
2024-04-17;Muñoz Hermanos;914.04;Revisión anual de equipos;181
2024-04-18;Acme Distribuciones S.L.;2877.54;Formación interna;210
2024-04-19;Peña & Hijos;2200.79;Servicio de mantenimiento;70
2024-04-20;Acme Distribuciones S.L.;3835.76;Transporte de mercancía;77
2024-04-21;Peña & Hijos;2497.25;Consultoría técnica;72
2024-04-22;Núñez Ortega y Cía.;3628.83;Transporte de mercancía;282
2024-04-23;"Taller ""El Rápido""";1983.54;Consultoría técnica;185
2024-04-24;Ibáñez Logística;2408.71;Servicio de mantenimiento;406
2024-04-25;Peña & Hijos;412.52;Compra de material informático;30
2024-04-26;Fernández, Asociados;4493.49;Servicio de mantenimiento;380
2024-04-27;Fernández, Asociados;3693.60;Consultoría técnica;365
