Fecha,Cliente,Importe,Concepto,Cantidad,Región,Código,Estado,Fecha_2,Cliente_2,Importe_2,Concepto_2,Cantidad_2,Región_2,Código_2,Estado_2,Fecha_3,Cliente_3,Importe_3,Concepto_3,Cantidad_3,Región_3,Código_3,Estado_3,Fecha_4,Cliente_4,Importe_4,Concepto_4,Cantidad_4,Región_4,Código_4,Estado_4,Fecha_5,Cliente_5,Importe_5,Concepto_5,Cantidad_5,Región_5,Código_5,Estado_5
2023-11-25,García S.L.,3205.27,Revisión anual de equipos,223,Madrid,G-7186,Anulado,2023-12-03,"Taller ""El Rápido""",1823.56,Compra de material informático,149,Cataluña,A-7628,En revisión,2023-12-11,"Fernández, Asociados",1499.69,Transporte de mercancía,118,Galicia,E-2910,En revisión,2023-12-19,Núñez Ortega y Cía.,2284.98,Compra de material informático,186,Cataluña,E-1656,Pagado,2023-12-27,"Taller ""El Rápido""",2163.37,Servicio de mantenimiento,340,Galicia,B-3492,Anulado
2023-11-26,Núñez Ortega y Cía.,1898.86,Transporte de mercancía,185,Madrid,F-8706,Anulado,2023-12-04,Acme Distribuciones S.L.,4092.93,Servicio de mantenimiento,498,Aragón,E-0723,Pendiente,2023-12-12,"Taller ""El Rápido""",4137.86,Compra de material informático,365,Aragón,B-1296,Pagado,2023-12-20,Ibáñez Logística,137.05,Revisión anual de equipos,162,Andalucía,G-2871,Pendiente,2023-12-28,Muñoz Hermanos,1120.61,Consultoría técnica,17,Galicia,F-8091,Pendiente
2023-11-27,Peña & Hijos,4226.31,Formación interna,59,Galicia,C-0941,En revisión,2023-12-05,Núñez Ortega y Cía.,1249.19,Transporte de mercancía,76,Aragón,F-1570,Pagado,2023-12-13,Muñoz Hermanos,3430.04,Servicio de mantenimiento,9,Madrid,B-1137,Anulado,2023-12-21,Núñez Ortega y Cía.,4110.47,Consultoría técnica,485,País Vasco,E-0294,En revisión,2023-12-29,García S.L.,1917.66,Revisión anual de equipos,445,Madrid,F-9516,Anulado
2023-11-28,Acme Distribuciones S.L.,1576.60,Formación interna,490,Madrid,H-2526,Pendiente,2023-12-06,García S.L.,4294.20,Consultoría técnica,12,Cataluña,G-9539,Pendiente,2023-12-14,Acme Distribuciones S.L.,582.52,Transporte de mercancía,300,Madrid,H-3094,En revisión,2023-12-22,Acme Distribuciones S.L.,3238.69,Servicio de mantenimiento,273,Galicia,B-9098,Pendiente,2023-12-30,Acme Distribuciones S.L.,3449.17,Formación interna,480,Galicia,A-9323,Anulado
2023-11-29,"Fernández, Asociados",2756.96,Consultoría técnica,54,Cataluña,F-5318,Pendiente,2023-12-07,"Taller ""El Rápido""",2119.97,Formación interna,146,Cataluña,E-7152,Anulado,2023-12-15,Muñoz Hermanos,947.74,Compra de material informático,385,Cataluña,A-0397,Anulado,2023-12-23,Núñez Ortega y Cía.,533.44,Formación interna,173,Aragón,C-7611,Anulado,2023-12-31,Ibáñez Logística,2360.76,Revisión anual de equipos,241,Andalucía,H-6698,En revisión
2023-11-30,Peña & Hijos,1375.49,Formación interna,102,Cataluña,C-7407,Pagado,2023-12-08,García S.L.,3831.28,Consultoría técnica,385,País Vasco,G-1363,Pendiente,2023-12-16,"Taller ""El Rápido""",245.76,Formación interna,98,Galicia,B-9682,Pagado,2023-12-24,"Taller ""El Rápido""",1545.20,Formación interna,458,Cataluña,C-2754,Pagado,2024-01-01,"Fernández, Asociados",2889.13,Revisión anual de equipos,188,Galicia,B-4854,Pendiente
2023-12-01,Núñez Ortega y Cía.,355.60,Revisión anual de equipos,160,País Vasco,G-6728,Pagado,2023-12-09,"Fernández, Asociados",3150.41,Compra de material informático,477,Madrid,G-5203,En revisión,2023-12-17,"Fernández, Asociados",4256.12,Transporte de mercancía,36,Madrid,H-3860,En revisión,2023-12-25,Ibáñez Logística,888.86,Transporte de mercancía,469,Cataluña,D-6634,Pagado,2024-01-02,"Fernández, Asociados",3295.57,Servicio de mantenimiento,377,Andalucía,H-2203,Pendiente
2023-12-02,Muñoz Hermanos,749.17,Compra de material informático,123,Andalucía,B-1354,Pendiente,2023-12-10,"Fernández, Asociados",2787.36,Transporte de mercancía,224,Aragón,A-7376,Pendiente,2023-12-18,"Fernández, Asociados",3742.30,Compra de material informático,401,Aragón,A-9321,En revisión,2023-12-26,"Taller ""El Rápido""",4418.73,Formación interna,347,Aragón,A-1416,Pagado,2024-01-03,Peña & Hijos,4353.89,Formación interna,325,Madrid,B-4768,Pendiente
2023-12-03,"Fernández, Asociados",715.99,Revisión anual de equipos,383,Andalucía,E-5700,Pendiente,2023-12-11,"Taller ""El Rápido""",3522.73,Servicio de mantenimiento,378,Galicia,C-7802,Pagado,2023-12-19,Núñez Ortega y Cía.,2172.10,Servicio de mantenimiento,15,Madrid,F-5504,Anulado,2023-12-27,Muñoz Hermanos,3185.27,Compra de material informático,390,Cataluña,D-3800,En revisión,2024-01-04,García S.L.,1612.39,Formación interna,379,Madrid,G-9745,Pagado
2023-12-04,Peña & Hijos,4699.45,Transporte de mercancía,241,Andalucía,H-5012,Anulado,2023-12-12,"Fernández, Asociados",4658.66,Revisión anual de equipos,303,Cataluña,B-1418,Pendiente,2023-12-20,Peña & Hijos,1925.78,Consultoría técnica,296,Madrid,A-9574,Pendiente,2023-12-28,"Taller ""El Rápido""",1958.55,Compra de material informático,457,Madrid,H-5912,Pendiente,2024-01-05,"Taller ""El Rápido""",2101.80,Formación interna,374,Andalucía,F-8431,En revisión
2023-12-05,Núñez Ortega y Cía.,1845.52,Transporte de mercancía,118,Galicia,D-0744,Pagado,2023-12-13,"Fernández, Asociados",3656.33,Formación interna,253,Galicia,B-6862,Pagado,2023-12-21,Peña & Hijos,2475.67,Formación interna,390,Cataluña,G-8974,Pendiente,2023-12-29,Peña & Hijos,3950.90,Formación interna,76,País Vasco,F-5434,Anulado,2024-01-06,Acme Distribuciones S.L.,27.43,Compra de material informático,404,País Vasco,B-3970,Pendiente
2023-12-06,Peña & Hijos,2278.00,Consultoría técnica,449,País Vasco,C-2133,En revisión,2023-12-14,"Fernández, Asociados",4907.96,Formación interna,391,Galicia,E-4731,En revisión,2023-12-22,"Fernández, Asociados",3852.36,Revisión anual de equipos,271,Cataluña,B-3285,Anulado,2023-12-30,Ibáñez Logística,2959.06,Compra de material informático,369,Aragón,H-9712,Pendiente,2024-01-07,"Taller ""El Rápido""",1985.52,Servicio de mantenimiento,473,Andalucía,A-2803,En revisión
2023-12-07,Núñez Ortega y Cía.,19.48,Compra de material informático,176,Cataluña,A-4263,Pagado,2023-12-15,García S.L.,1957.12,Consultoría técnica,199,Madrid,F-4582,Pagado,2023-12-23,García S.L.,334.50,Transporte de mercancía,430,Cataluña,B-0229,Pendiente,2023-12-31,Acme Distribuciones S.L.,2365.88,Transporte de mercancía,306,Cataluña,B-6979,En revisión,2024-01-08,"Taller ""El Rápido""",3571.64,Transporte de mercancía,444,País Vasco,H-6167,Pagado
2023-12-08,García S.L.,3928.44,Consultoría técnica,80,País Vasco,B-5523,Pendiente,2023-12-16,"Taller ""El Rápido""",1693.11,Consultoría técnica,215,Andalucía,B-7781,Pendiente,2023-12-24,Acme Distribuciones S.L.,1544.35,Compra de material informático,103,Cataluña,F-2397,Pendiente,2024-01-01,Peña & Hijos,4572.30,Formación interna,356,Madrid,F-5967,Pagado,2024-01-09,Acme Distribuciones S.L.,4905.06,Consultoría técnica,46,Aragón,F-5861,Anulado
2023-12-09,"Taller ""El Rápido""",2556.75,Transporte de mercancía,419,País Vasco,B-2873,Pendiente,2023-12-17,Muñoz Hermanos,4426.83,Consultoría técnica,383,Madrid,C-8234,Anulado,2023-12-25,"Taller ""El Rápido""",2234.72,Servicio de mantenimiento,11,Aragón,D-4396,Anulado,2024-01-02,Acme Distribuciones S.L.,2586.15,Consultoría técnica,24,Galicia,F-3927,Anulado,2024-01-10,Muñoz Hermanos,1408.40,Formación interna,4,Aragón,D-8740,Pagado
2023-12-10,Acme Distribuciones S.L.,1158.12,Compra de material informático,129,Galicia,G-3339,Pagado,2023-12-18,Acme Distribuciones S.L.,2069.05,Servicio de mantenimiento,205,Madrid,E-7049,Pagado,2023-12-26,Peña & Hijos,2394.20,Revisión anual de equipos,440,Galicia,B-7012,En revisión,2024-01-03,Muñoz Hermanos,639.08,Revisión anual de equipos,482,Madrid,D-9257,Anulado,2024-01-11,Ibáñez Logística,3810.09,Consultoría técnica,318,Andalucía,A-4968,Pagado
2023-12-11,"Fernández, Asociados",4933.92,Servicio de mantenimiento,86,Madrid,A-7240,Pagado,2023-12-19,Ibáñez Logística,2715.25,Compra de material informático,437,País Vasco,D-2615,En revisión,2023-12-27,"Fernández, Asociados",2883.24,Formación interna,374,Galicia,F-8860,En revisión,2024-01-04,Núñez Ortega y Cía.,2838.70,Consultoría técnica,427,Cataluña,A-8049,Pagado,2024-01-12,"Fernández, Asociados",3374.92,Revisión anual de equipos,303,Madrid,H-3821,En revisión
2023-12-12,"Taller ""El Rápido""",1494.30,Revisión anual de equipos,20,País Vasco,G-5211,Anulado,2023-12-20,Acme Distribuciones S.L.,3223.32,Compra de material informático,368,Cataluña,E-7796,En revisión,2023-12-28,García S.L.,4527.85,Servicio de mantenimiento,454,Andalucía,C-4302,Anulado,2024-01-05,Acme Distribuciones S.L.,2512.98,Formación interna,287,Aragón,C-8718,Pagado,2024-01-13,Acme Distribuciones S.L.,2740.08,Compra de material informático,262,Aragón,G-7093,Anulado
2023-12-13,"Taller ""El Rápido""",1929.50,Transporte de mercancía,3,País Vasco,C-9543,En revisión,2023-12-21,Ibáñez Logística,3651.72,Transporte de mercancía,411,Cataluña,H-5013,Pagado,2023-12-29,Peña & Hijos,4775.07,Servicio de mantenimiento,288,País Vasco,E-4626,En revisión,2024-01-06,Núñez Ortega y Cía.,1633.65,Servicio de mantenimiento,391,Cataluña,H-1563,Pagado,2024-01-14,Acme Distribuciones S.L.,1359.39,Consultoría técnica,111,Andalucía,C-3623,Pendiente
2023-12-14,Ibáñez Logística,1598.20,Formación interna,176,Aragón,F-8881,Pendiente,2023-12-22,García S.L.,3174.26,Compra de material informático,153,Madrid,B-3714,Pagado,2023-12-30,"Taller ""El Rápido""",2190.23,Servicio de mantenimiento,344,Galicia,C-8954,Anulado,2024-01-07,Acme Distribuciones S.L.,3988.05,Servicio de mantenimiento,271,Aragón,H-9440,Pendiente,2024-01-15,Muñoz Hermanos,4050.54,Formación interna,112,País Vasco,E-1555,Pendiente
2023-12-15,García S.L.,1216.61,Formación interna,291,Andalucía,F-8983,Pendiente,2023-12-23,Peña & Hijos,1125.66,Formación interna,291,País Vasco,B-0427,Pagado,2023-12-31,Muñoz Hermanos,1611.10,Compra de material informático,389,Madrid,D-2942,Anulado,2024-01-08,Peña & Hijos,2748.69,Consultoría técnica,319,Cataluña,E-6816,Anulado,2024-01-16,García S.L.,3677.10,Formación interna,82,Galicia,H-5325,Pagado
2023-12-16,"Taller ""El Rápido""",1158.24,Revisión anual de equipos,102,Aragón,E-8782,Pendiente,2023-12-24,Ibáñez Logística,1713.30,Transporte de mercancía,221,Cataluña,G-5245,Pagado,2024-01-01,Núñez Ortega y Cía.,4231.35,Revisión anual de equipos,348,Aragón,C-0503,Pendiente,2024-01-09,Acme Distribuciones S.L.,2224.79,Servicio de mantenimiento,183,Madrid,E-9404,Pendiente,2024-01-17,Muñoz Hermanos,3748.38,Transporte de mercancía,132,País Vasco,C-4890,Pendiente
2023-12-17,"Taller ""El Rápido""",1008.40,Transporte de mercancía,73,Galicia,E-6726,Anulado,2023-12-25,García S.L.,2896.70,Consultoría técnica,296,Madrid,G-8652,Pendiente,2024-01-02,García S.L.,4342.11,Compra de material informático,261,Andalucía,F-3415,En revisión,2024-01-10,Peña & Hijos,4877.56,Servicio de mantenimiento,93,País Vasco,H-9122,Anulado,2024-01-18,"Taller ""El Rápido""",430.44,Transporte de mercancía,15,Galicia,D-5813,En revisión
2023-12-18,Muñoz Hermanos,1423.18,Consultoría técnica,303,Cataluña,G-2025,En revisión,2023-12-26,"Taller ""El Rápido""",2971.50,Servicio de mantenimiento,372,Andalucía,A-9740,Anulado,2024-01-03,Muñoz Hermanos,1948.46,Formación interna,410,Madrid,D-6503,En revisión,2024-01-11,Acme Distribuciones S.L.,3713.57,Transporte de mercancía,196,Madrid,A-2296,Anulado,2024-01-19,Acme Distribuciones S.L.,4285.29,Revisión anual de equipos,453,Andalucía,B-5518,En revisión
2023-12-19,Acme Distribuciones S.L.,2611.61,Formación interna,144,Cataluña,B-8980,En revisión,2023-12-27,Peña & Hijos,1633.94,Servicio de mantenimiento,399,Andalucía,C-0988,Pagado,2024-01-04,García S.L.,4918.79,Revisión anual de equipos,496,Madrid,G-5137,Pendiente,2024-01-12,García S.L.,4200.39,Transporte de mercancía,267,Galicia,F-2189,Anulado,2024-01-20,Muñoz Hermanos,3956.43,Revisión anual de equipos,416,País Vasco,D-7192,Pagado
2023-12-20,"Fernández, Asociados",2961.44,Formación interna,42,País Vasco,A-6360,En revisión,2023-12-28,"Taller ""El Rápido""",4633.94,Compra de material informático,304,Cataluña,B-1335,En revisión,2024-01-05,Ibáñez Logística,2542.96,Formación interna,93,Andalucía,E-1948,Anulado,2024-01-13,García S.L.,4643.10,Formación interna,344,Aragón,D-1111,Pagado,2024-01-21,Acme Distribuciones S.L.,3264.05,Revisión anual de equipos,164,Andalucía,G-6550,Pagado
2023-12-21,"Fernández, Asociados",4685.82,Revisión anual de equipos,100,Galicia,B-2570,Pagado,2023-12-29,Ibáñez Logística,1288.13,Servicio de mantenimiento,454,Cataluña,D-2728,Anulado,2024-01-06,"Taller ""El Rápido""",4886.02,Compra de material informático,382,Galicia,D-2352,Anulado,2024-01-14,García S.L.,3358.87,Compra de material informático,317,Aragón,G-5759,En revisión,2024-01-22,Ibáñez Logística,3220.71,Consultoría técnica,33,País Vasco,C-3085,Anulado
2023-12-22,García S.L.,4340.68,Transporte de mercancía,360,Cataluña,C-5777,Pagado,2023-12-30,Acme Distribuciones S.L.,4627.97,Formación interna,12,Cataluña,D-4303,Pendiente,2024-01-07,"Fernández, Asociados",3246.85,Transporte de mercancía,467,Cataluña,F-3696,Anulado,2024-01-15,Núñez Ortega y Cía.,537.18,Consultoría técnica,332,Cataluña,H-5311,Anulado,2024-01-23,Núñez Ortega y Cía.,3228.53,Revisión anual de equipos,493,Galicia,A-8154,Anulado
2023-12-23,Peña & Hijos,3232.82,Consultoría técnica,14,Galicia,H-7742,En revisión,2023-12-31,"Fernández, Asociados",3043.88,Servicio de mantenimiento,500,Galicia,E-5642,En revisión,2024-01-08,"Taller ""El Rápido""",2470.99,Consultoría técnica,53,Cataluña,G-8620,Anulado,2024-01-16,"Taller ""El Rápido""",696.89,Servicio de mantenimiento,292,País Vasco,C-7643,En revisión,2024-01-24,Acme Distribuciones S.L.,1479.59,Servicio de mantenimiento,196,País Vasco,F-2899,Pagado
2023-12-24,Núñez Ortega y Cía.,2697.98,Transporte de mercancía,42,Madrid,H-8021,En revisión,2024-01-01,Núñez Ortega y Cía.,965.07,Compra de material informático,243,Cataluña,D-6824,Pendiente,2024-01-09,García S.L.,3832.27,Formación interna,447,Madrid,A-3362,Pendiente,2024-01-17,Núñez Ortega y Cía.,901.83,Transporte de mercancía,125,Madrid,D-4489,En revisión,2024-01-25,García S.L.,3616.35,Revisión anual de equipos,339,Galicia,G-8332,Pagado
2023-12-25,Ibáñez Logística,4804.94,Formación interna,337,Galicia,E-9465,Pendiente,2024-01-02,"Fernández, Asociados",1960.26,Consultoría técnica,73,País Vasco,A-5576,En revisión,2024-01-10,Núñez Ortega y Cía.,4840.87,Consultoría técnica,57,Andalucía,D-4819,En revisión,2024-01-18,Muñoz Hermanos,1187.97,Formación interna,406,País Vasco,G-9530,Pagado,2024-01-26,"Fernández, Asociados",2629.99,Revisión anual de equipos,332,País Vasco,G-7413,Pendiente
2023-12-26,García S.L.,4929.77,Servicio de mantenimiento,382,Cataluña,B-1183,Pagado,2024-01-03,"Fernández, Asociados",1322.25,Transporte de mercancía,395,País Vasco,D-2343,En revisión,2024-01-11,Núñez Ortega y Cía.,4285.83,Formación interna,288,Andalucía,A-1390,Anulado,2024-01-19,"Fernández, Asociados",2219.41,Transporte de mercancía,235,Andalucía,D-7587,En revisión,2024-01-27,"Taller ""El Rápido""",1163.09,Revisión anual de equipos,5,Galicia,C-4692,En revisión
2023-12-27,Muñoz Hermanos,118.03,Transporte de mercancía,281,Galicia,H-2030,Pagado,2024-01-04,García S.L.,3393.70,Formación interna,129,Galicia,B-2670,Anulado,2024-01-12,García S.L.,1677.11,Compra de material informático,196,Madrid,A-3627,En revisión,2024-01-20,Acme Distribuciones S.L.,664.01,Transporte de mercancía,256,Aragón,G-2788,En revisión,2024-01-28,Núñez Ortega y Cía.,4803.34,Servicio de mantenimiento,499,Galicia,A-7268,Pagado
2023-12-28,Muñoz Hermanos,1709.59,Formación interna,484,Andalucía,H-1011,Pagado,2024-01-05,Muñoz Hermanos,856.16,Revisión anual de equipos,211,Cataluña,B-1032,Pendiente,2024-01-13,Acme Distribuciones S.L.,1139.58,Compra de material informático,110,País Vasco,A-8795,Pendiente,2024-01-21,Muñoz Hermanos,3175.29,Compra de material informático,378,Galicia,A-0514,Pagado,2024-01-29,"Fernández, Asociados",4292.64,Formación interna,206,Cataluña,G-4401,Pendiente
2023-12-29,Peña & Hijos,1346.13,Formación interna,58,País Vasco,A-9997,Pendiente,2024-01-06,Ibáñez Logística,310.43,Servicio de mantenimiento,167,Andalucía,H-5494,Anulado,2024-01-14,Ibáñez Logística,1493.88,Compra de material informático,231,Madrid,F-5600,Anulado,2024-01-22,Núñez Ortega y Cía.,1703.38,Formación interna,375,Madrid,H-0988,Pagado,2024-01-30,Peña & Hijos,3157.83,Servicio de mantenimiento,123,Galicia,E-4074,Anulado
2023-12-30,Peña & Hijos,537.58,Revisión anual de equipos,7,Galicia,A-2550,En revisión,2024-01-07,"Fernández, Asociados",1864.05,Consultoría técnica,287,Cataluña,D-9418,En revisión,2024-01-15,Ibáñez Logística,898.59,Compra de material informático,469,Andalucía,A-5387,Anulado,2024-01-23,Núñez Ortega y Cía.,3059.75,Compra de material informático,164,País Vasco,G-5569,Anulado,2024-01-31,"Taller ""El Rápido""",4146.82,Revisión anual de equipos,478,Cataluña,A-8610,En revisión
2023-12-31,Núñez Ortega y Cía.,728.18,Revisión anual de equipos,282,Cataluña,E-5230,Anulado,2024-01-08,Peña & Hijos,1211.61,Transporte de mercancía,265,Aragón,A-2351,Anulado,2024-01-16,Ibáñez Logística,3641.83,Compra de material informático,470,Aragón,C-7467,En revisión,2024-01-24,Acme Distribuciones S.L.,191.94,Servicio de mantenimiento,168,Andalucía,G-4083,Pagado,2024-02-01,Núñez Ortega y Cía.,108.93,Servicio de mantenimiento,275,Madrid,D-2060,En revisión
2024-01-01,Muñoz Hermanos,4682.66,Transporte de mercancía,352,Aragón,A-9836,Pendiente,2024-01-09,Peña & Hijos,1307.02,Compra de material informático,181,Madrid,D-8499,Pendiente,2024-01-17,"Taller ""El Rápido""",2955.96,Formación interna,33,Galicia,F-0417,Pendiente,2024-01-25,García S.L.,3331.23,Consultoría técnica,194,Galicia,A-5137,Anulado,2024-02-02,García S.L.,3749.14,Formación interna,395,Aragón,F-7628,Pagado
