# Exportado desde SistemaXYZ v3.2
Fecha;Cliente;Importe;Concepto;Cantidad
2023-08-06;Muñoz Hermanos;3374.50;Servicio de mantenimiento;329
2023-08-07;Ibáñez Logística;1520.04;Compra de material informático;465
2023-08-08;García S.L.;2098.38;Compra de material informático;2
2023-08-09;Ibáñez Logística;3264.99;Revisión anual de equipos;237
2023-08-10;Fernández, Asociados;1243.76;Revisión anual de equipos;304
2023-08-11;García S.L.;451.02;Transporte de mercancía;410
2023-08-12;"Taller ""El Rápido""";4311.76;Compra de material informático;450
2023-08-13;Peña & Hijos;2864.57;Revisión anual de equipos;158
2023-08-14;Núñez Ortega y Cía.;292.71;Revisión anual de equipos;77
2023-08-15;Ibáñez Logística;267.48;Consultoría técnica;38
2023-08-16;Acme Distribuciones S.L.;2378.33;Consultoría técnica;262
2023-08-17;Núñez Ortega y Cía.;641.33;Transporte de mercancía;257
2023-08-18;Muñoz Hermanos;1311.85;Revisión anual de equipos;451
2023-08-19;"Taller ""El Rápido""";2603.79;Revisión anual de equipos;84
2023-08-20;"Taller ""El Rápido""";2998.55;Formación interna;7
2023-08-21;Ibáñez Logística;1761.88;Transporte de mercancía;359
2023-08-22;Muñoz Hermanos;4483.22;Formación interna;481
2023-08-23;Peña & Hijos;1978.70;Consultoría técnica;25
2023-08-24;Peña & Hijos;773.78;Consultoría técnica;331
2023-08-25;García S.L.;300.00;Compra de material informático;55
2023-08-26;Núñez Ortega y Cía.;1321.00;Compra de material informático;418
2023-08-27;Peña & Hijos;320.55;Transporte de mercancía;97
2023-08-28;Acme Distribuciones S.L.;4235.68;Revisión anual de equipos;19
2023-08-29;Núñez Ortega y Cía.;3888.43;Servicio de mantenimiento;476
2023-08-30;"Taller ""El Rápido""";628.59;Servicio de mantenimiento;60
2023-08-31;Peña & Hijos;3826.67;Consultoría técnica;132
2023-09-01;Acme Distribuciones S.L.;4109.64;Compra de material informático;71
2023-09-02;García S.L.;2459.29;Servicio de mantenimiento;180
2023-09-03;Núñez Ortega y Cía.;1250.51;Servicio de mantenimiento;463
2023-09-04;Peña & Hijos;4096.16;Consultoría técnica;419
2023-09-05;Muñoz Hermanos;3624.79;Revisión anual de equipos;297
2023-09-06;Ibáñez Logística;2551.07;Servicio de mantenimiento;474
2023-09-07;Acme Distribuciones S.L.;642.15;Servicio de mantenimiento;299
2023-09-08;"Taller ""El Rápido""";2295.91;Consultoría técnica;444
2023-09-09;Muñoz Hermanos;1568.34;Compra de material informático;495
2023-09-10;Peña & Hijos;4611.16;Revisión anual de equipos;331
2023-09-11;Núñez Ortega y Cía.;150.16;Consultoría técnica;315
2023-09-12;Acme Distribuciones S.L.;1584.72;Compra de material informático;448
2023-09-13;Ibáñez Logística;4996.85;Formación interna;316
2023-09-14;García S.L.;1268.87;Transporte de mercancía;81
