# Exportado desde SistemaXYZ v3.2
# Empresa: Distribuciones Ejemplo S.A.
# Periodo: 2023-07-19 a 2023-12-22
# Moneda: EUR
# Filas de datos: 150
Fecha	Cliente	Importe	Concepto	Cantidad	Región
2023-07-19	"Taller ""El Rápido"""	594.02	Servicio de mantenimiento	191	Madrid
2023-07-20	"Taller ""El Rápido"""	2403.91	Servicio de mantenimiento	400	Cataluña
2023-07-21	Peña & Hijos	3929.61	Consultoría técnica	298	Galicia
2023-07-22	Ibáñez Logística	922.97	Consultoría técnica	271	Cataluña
2023-07-23	García S.L.	1053.25	Transporte de mercancía	425	Galicia
2023-07-24	García S.L.	1387.54	Consultoría técnica	155	Cataluña
2023-07-25	Muñoz Hermanos	4540.98	Transporte de mercancía	350	Cataluña
2023-07-26	Fernández, Asociados	311.18	Revisión anual de equipos	29	Andalucía
2023-07-27	Muñoz Hermanos	1287.62	Servicio de mantenimiento	39	Andalucía
2023-07-28	Peña & Hijos	4122.65	Transporte de mercancía	99	Madrid
2023-07-29	Acme Distribuciones S.L.	474.93	Servicio de mantenimiento	173	Aragón
2023-07-30	Acme Distribuciones S.L.	651.49	Consultoría técnica	252	Madrid
2023-07-31	Acme Distribuciones S.L.	4593.26	Servicio de mantenimiento	311	Aragón
2023-08-01	Fernández, Asociados	2206.73	Revisión anual de equipos	474	Galicia
2023-08-02	Núñez Ortega y Cía.	3872.04	Transporte de mercancía	152	Cataluña
2023-08-03	Acme Distribuciones S.L.	444.24	Formación interna	361	Aragón
2023-08-04	Fernández, Asociados	3412.03	Formación interna	131	Madrid
2023-08-05	Ibáñez Logística	620.88	Formación interna	67	País Vasco
2023-08-06	"Taller ""El Rápido"""	2321.21	Transporte de mercancía	164	Galicia
2023-08-07	Acme Distribuciones S.L.	1970.43	Transporte de mercancía	13	Galicia
2023-08-08	Fernández, Asociados	52.24	Transporte de mercancía	384	Aragón
2023-08-09	Muñoz Hermanos	1612.86	Compra de material informático	144	Galicia
2023-08-10	García S.L.	4131.27	Servicio de mantenimiento	494	Andalucía
2023-08-11	Fernández, Asociados	147.13	Consultoría técnica	388	País Vasco
2023-08-12	Fernández, Asociados	832.86	Compra de material informático	381	Cataluña
2023-08-13	Núñez Ortega y Cía.	2944.93	Consultoría técnica	208	Andalucía
2023-08-14	Núñez Ortega y Cía.	3621.46	Servicio de mantenimiento	408	Aragón
2023-08-15	García S.L.	2238.44	Revisión anual de equipos	60	Cataluña
2023-08-16	Peña & Hijos	4908.38	Formación interna	407	Cataluña
2023-08-17	García S.L.	3733.88	Consultoría técnica	403	Aragón
2023-08-18	"Taller ""El Rápido"""	2783.71	Servicio de mantenimiento	213	Madrid
2023-08-19	Ibáñez Logística	2578.94	Compra de material informático	103	Andalucía
