Fecha	Cliente	Importe	Concepto	Cantidad	Región	Código	Estado	Fecha_2	Cliente_2	Importe_2	Concepto_2	Cantidad_2	Región_2	Código_2	Estado_2	Fecha_3	Cliente_3	Importe_3	Concepto_3	Cantidad_3	Región_3	Código_3	Estado_3	Fecha_4	Cliente_4	Importe_4	Concepto_4	Cantidad_4	Región_4	Código_4	Estado_4	Fecha_5	Cliente_5	Importe_5	Concepto_5	Cantidad_5	Región_5	Código_5	Estado_5
2023-08-24	Núñez Ortega y Cía.	1873.15	Servicio de mantenimiento	70	Madrid	E-1745	Anulado	2023-09-01	Muñoz Hermanos	1119.78	Servicio de mantenimiento	212	Andalucía	E-1115	En revisión	2023-09-09	Núñez Ortega y Cía.	4883.95	Revisión anual de equipos	469	Galicia	B-6803	Anulado	2023-09-17	"Taller ""El Rápido"""	3566.90	Compra de material informático	272	Galicia	F-9816	Pendiente	2023-09-25	Fernández, Asociados	3609.03	Compra de material informático	452	Galicia	E-8151	Anulado
2023-08-25	Peña & Hijos	3650.22	Formación interna	239	Aragón	G-4504	Anulado	2023-09-02	Acme Distribuciones S.L.	3400.37	Revisión anual de equipos	393	Madrid	E-8303	Pendiente	2023-09-10	Fernández, Asociados	2567.86	Revisión anual de equipos	499	Cataluña	C-0366	Anulado	2023-09-18	"Taller ""El Rápido"""	1565.80	Formación interna	210	Galicia	H-4399	Pendiente	2023-09-26	Muñoz Hermanos	3360.28	Formación interna	5	Galicia	A-1744	Pendiente
2023-08-26	Núñez Ortega y Cía.	2698.39	Revisión anual de equipos	268	Aragón	B-6257	En revisión	2023-09-03	Acme Distribuciones S.L.	4099.37	Compra de material informático	234	Cataluña	E-5321	Pagado	2023-09-11	García S.L.	3327.65	Consultoría técnica	283	País Vasco	G-3643	En revisión	2023-09-19	Peña & Hijos	297.83	Consultoría técnica	136	Aragón	B-4761	Pagado	2023-09-27	Ibáñez Logística	2606.98	Transporte de mercancía	346	País Vasco	E-6761	En revisión
2023-08-27	Peña & Hijos	4056.62	Revisión anual de equipos	240	Galicia	H-4917	En revisión	2023-09-04	Peña & Hijos	4873.53	Consultoría técnica	50	Andalucía	A-8185	Pendiente	2023-09-12	García S.L.	321.16	Servicio de mantenimiento	64	Cataluña	B-3768	Pendiente	2023-09-20	Fernández, Asociados	2921.92	Servicio de mantenimiento	279	País Vasco	F-4623	Pagado	2023-09-28	Ibáñez Logística	3714.99	Consultoría técnica	72	Cataluña
2023-08-28	Peña & Hijos	3783.97	Compra de material informático	25	Galicia	D-0285	Pendiente	2023-09-05	Acme Distribuciones S.L.	1232.07	Transporte de mercancía	317	Cataluña	G-8004	Anulado	2023-09-13	"Taller ""El Rápido"""	1279.78	Transporte de mercancía	69	Andalucía	E-3369	Anulado	2023-09-21	Muñoz Hermanos	568.04	Compra de material informático	202	País Vasco	D-0683	Pendiente	2023-09-29	Muñoz Hermanos	877.35	Compra de material informático	256	Andalucía	B-4060	Pendiente
2023-08-29	Fernández, Asociados	1283.35	Consultoría técnica	243	Andalucía	G-5743	Anulado	2023-09-06	Núñez Ortega y Cía.	522.23	Compra de material informático	483	Cataluña	H-5541	En revisión	2023-09-14	Ibáñez Logística	365.62	Revisión anual de equipos	272	Aragón	A-4632	Pagado	2023-09-22	Ibáñez Logística	2505.25	Compra de material informático	429	Cataluña	H-3887	Pendiente	2023-09-30	Muñoz Hermanos	1168.90	Transporte de mercancía	127	Aragón	D-7666	Pagado
2023-08-30	Fernández, Asociados	47.77	Consultoría técnica	363	Galicia	A-3109	Pendiente	2023-09-07	Muñoz Hermanos	3740.97	Transporte de mercancía	339	Galicia	F-9068	Pendiente	2023-09-15	Ibáñez Logística	753.19	Transporte de mercancía	199	Aragón	B-8759	Pendiente	2023-09-23	Acme Distribuciones S.L.	3099.96	Transporte de mercancía	393	Galicia	H-9461	En revisión	2023-10-01	Fernández, Asociados	1011.09	Transporte de mercancía	230	Aragón	A-1236	En revisión
2023-08-31	Fernández, Asociados	4477.87	Transporte de mercancía	324	Aragón	G-2288	Anulado	2023-09-08	Núñez Ortega y Cía.	3318.65	Revisión anual de equipos	210	Andalucía	G-9099	Pagado	2023-09-16	Ibáñez Logística	2456.22	Consultoría técnica	59	Madrid	C-6976	Anulado	2023-09-24	García S.L.	2779.24	Compra de material informático	453	País Vasco	B-4519	Pendiente	2023-10-02	Fernández, Asociados	2955.55	Consultoría técnica	29	Aragón	H-8039	Pagado
2023-09-01	Fernández, Asociados	4887.51	Formación interna	247	Galicia	D-1152	En revisión	2023-09-09	García S.L.	4911.55	Compra de material informático	257	Madrid	H-9453	Anulado	2023-09-17	Fernández, Asociados	2740.57	Compra de material informático	183	Andalucía	G-3762	Pagado	2023-09-25	Peña & Hijos	4378.21	Servicio de mantenimiento	448	País Vasco	F-4756	Anulado	2023-10-03	García S.L.	924.52	Servicio de mantenimiento	429	Galicia	D-1070	Pendiente
2023-09-02	Núñez Ortega y Cía.	3039.40	Compra de material informático	340	Cataluña	H-2286	Anulado	2023-09-10	Muñoz Hermanos	3630.35	Transporte de mercancía	254	Cataluña	H-8632	En revisión	2023-09-18	García S.L.	3339.64	Consultoría técnica	347	Cataluña	A-3471	Pendiente	2023-09-26	García S.L.	617.88	Transporte de mercancía	73	Aragón	C-4390	En revisión	2023-10-04	Ibáñez Logística	2166.88	Consultoría técnica	310	Cataluña	H-6512	Anulado
